,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
90,D9-e003Coalescence-mGAM-p5,False,D9-e003Coalescence-mGAM-p5,True,D9,False,5,mGAM,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
91,C9-e003Coalescence-mBHI-p3,False,C9-e003Coalescence-mBHI-p3,True,C9,False,3,mBHI,mGAM,AE-AC/PP,C9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
92,D10-e003Coalescence-mGAM-p5,False,D10-e003Coalescence-mGAM-p5,True,D10,False,5,mGAM,mGAM,AF-AE,D10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
93,C8-e003Coalescence-mBHI-p7,False,C8-e003Coalescence-mBHI-p7,True,C8,False,7,mBHI,mGAM,AE-AA,C8-AE-AA-mGAM-mBHI,AE-AA-mGAM-mBHI,AE-AA-mGAM
94,C4-e003Coalescence-mBHI-p3,False,C4-e003Coalescence-mBHI-p3,True,C4,False,3,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
97,B4-e003Coalescence-mGAM-p5,False,B4-e003Coalescence-mGAM-p5,True,B4,False,5,mGAM,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI
98,D4-e003Coalescence-mGAM-p5,False,D4-e003Coalescence-mGAM-p5,True,D4,False,5,mGAM,mBHI,AF-AE,D4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
100,B5-e003Coalescence-mGAM-p5,False,B5-e003Coalescence-mGAM-p5,True,B5,False,5,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
104,C2-e003Coalescence-mGAM-p3,False,C2-e003Coalescence-mGAM-p3,True,C2,False,3,mGAM,mBHI,AE-AA,C2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
105,B5-e003Coalescence-mGAM-p7,False,B5-e003Coalescence-mGAM-p7,True,B5,False,7,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
106,D8-e003Coalescence-mBHI-p5,False,D8-e003Coalescence-mBHI-p5,True,D8,False,5,mBHI,mGAM,AF-AA,D8-AF-AA-mGAM-mBHI,AF-AA-mGAM-mBHI,AF-AA-mGAM
109,C4-e003Coalescence-mBHI-p7,False,C4-e003Coalescence-mBHI-p7,True,C4,False,7,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
111,B10-e003Coalescence-mBHI-p5,False,B10-e003Coalescence-mBHI-p5,True,B10,False,5,mBHI,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM
113,D11-e003Coalescence-mBHI-p3,False,D11-e003Coalescence-mBHI-p3,True,D11,False,3,mBHI,mGAM,AF-AF,D11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM
116,B5-e003Coalescence-mBHI-p3,False,B5-e003Coalescence-mBHI-p3,True,B5,False,3,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
118,C4-e003Coalescence-mGAM-p5,False,C4-e003Coalescence-mGAM-p5,True,C4,False,5,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
