,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
515,H9-e003Coalescence-mBHI-p7_S138,True,H9-e003Coalescence-mBHI-p7,True,H9,False,7,mBHI,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
516,H8-e003Coalescence-mGAM-p7_S185,True,H8-e003Coalescence-mGAM-p7,True,H8,False,7,mGAM,mGAM,AF-AA,H8-AF-AA-mGAM-mGAM,AF-AA-mGAM-mGAM,AF-AA-mGAM
517,G2-e003Coalescence-mGAM-p3_S81,True,G2-e003Coalescence-mGAM-p3,True,G2,False,3,mGAM,mBHI,AE-AA,G2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
518,F111-e003Coalescence-mBHI-p5_S20,True,F11-e003Coalescence-mBHI-p5,True,F11,False,5,mBHI,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM
519,F8-e003Coalescence-mBHI-p5_S17,True,F8-e003Coalescence-mBHI-p5,True,F8,False,5,mBHI,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM
520,G100-e003Coalescence-mBHI-p7_S127,True,G10-e003Coalescence-mBHI-p7,True,G10,False,7,mBHI,mGAM,AE-AE,G10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
521,E5-e003Coalescence-mGAM-p5_S52,True,E5-e003Coalescence-mGAM-p5,True,E5,False,5,mGAM,mBHI,AA-AF,E5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI
19,A4-e003Coalescence-mBHI-inoculumn-redo,False,A4-e003Coalescence-mBHI-inoculumn-redo,True,A4,True,0,mBHI,mBHI,AA-AE,A4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
45,D3-e003Coalescence-Inoculumn-mBHI,False,D3-e003Coalescence-Inoculumn-mBHI,True,D3,True,0,mBHI,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
57,C4-e003Coalescence-mBHI-inoculumn-redo,False,C4-e003Coalescence-mBHI-inoculumn-redo,True,C4,True,0,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
68,A2-e003Coalescence-Inoculumn-mGAM,False,A2-e003Coalescence-Inoculumn-mGAM,True,A2,True,0,mGAM,mBHI,AA-AA,A2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
85,B5-e003Coalescence-Inoculumn-mGAM,False,B5-e003Coalescence-Inoculumn-mGAM,True,B5,True,0,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
102,B5-e003Coalescence-Inoculumn-mBHI,False,B5-e003Coalescence-Inoculumn-mBHI,True,B5,True,0,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
112,D5-e003Coalescence-Inoculumn-mGAM,False,D5-e003Coalescence-Inoculumn-mGAM,True,D5,True,0,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
120,C5-e003Coalescence-mBHI-inoculumn-redo,False,C5-e003Coalescence-mBHI-inoculumn-redo,True,C5,True,0,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
138,B2-e003Coalescence-Inoculumn-mGAM,False,B2-e003Coalescence-Inoculumn-mGAM,True,B2,True,0,mGAM,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
142,A3-e003Coalescence-mBHI-inoculumn-redo,False,A3-e003Coalescence-mBHI-inoculumn-redo,True,A3,True,0,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
146,A3-e003Coalescence-Inoculumn-mGAM,False,A3-e003Coalescence-Inoculumn-mGAM,True,A3,True,0,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
155,A2-e003Coalescence-Inoculumn-mBHI,False,A2-e003Coalescence-Inoculumn-mBHI,True,A2,True,0,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
163,D5-e003Coalescence-Inoculumn-mBHI,False,D5-e003Coalescence-Inoculumn-mBHI,True,D5,True,0,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
168,B3-e003Coalescence-Inoculumn-mBHI,False,B3-e003Coalescence-Inoculumn-mBHI,True,B3,True,0,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
186,A5-e003Coalescence-mBHI-inoculumn-redo,False,A5-e003Coalescence-mBHI-inoculumn-redo,True,A5,True,0,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
191,C3-e003Coalescence-Inoculumn-mGAM,False,C3-e003Coalescence-Inoculumn-mGAM,True,C3,True,0,mGAM,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
194,D4-e003Coalescence-Inoculumn-mBHI,False,D4-e003Coalescence-Inoculumn-mBHI,True,D4,True,0,mBHI,mBHI,AF-AE,D4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
219,C2-e003Coalescence-Inoculumn-mGAM,False,C2-e003Coalescence-Inoculumn-mGAM,True,C2,True,0,mGAM,mBHI,AE-AA,C2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
220,B3-e003Coalescence-Inoculumn-mGAM,False,B3-e003Coalescence-Inoculumn-mGAM,True,B3,True,0,mGAM,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI
226,D2-e003Coalescence-Inoculumn-mBHI,False,D2-e003Coalescence-Inoculumn-mBHI,True,D2,True,0,mBHI,mBHI,AF-AA,D2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
227,B4-e003Coalescence-Inoculumn-mGAM,False,B4-e003Coalescence-Inoculumn-mGAM,True,B4,True,0,mGAM,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI
233,C4-e003Coalescence-Inoculumn-mGAM,False,C4-e003Coalescence-Inoculumn-mGAM,True,C4,True,0,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
261,C2-e003Coalescence-mBHI-inoculumn-redo,False,C2-e003Coalescence-mBHI-inoculumn-redo,True,C2,True,0,mBHI,mBHI,AE-AA,C2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
264,B2-e003Coalescence-Inoculumn-mBHI,False,B2-e003Coalescence-Inoculumn-mBHI,True,B2,True,0,mBHI,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
269,A5-e003Coalescence-Inoculumn-mGAM,False,A5-e003Coalescence-Inoculumn-mGAM,True,A5,True,0,mGAM,mBHI,AA-AF,A5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI
272,D4-e003Coalescence-Inoculumn-mGAM,False,D4-e003Coalescence-Inoculumn-mGAM,True,D4,True,0,mGAM,mBHI,AF-AE,D4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
279,C3-e003Coalescence-mBHI-inoculumn-redo,False,C3-e003Coalescence-mBHI-inoculumn-redo,True,C3,True,0,mBHI,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
295,A2-e003Coalescence-mBHI-inoculumn-redo,False,A2-e003Coalescence-mBHI-inoculumn-redo,True,A2,True,0,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
300,B4-e003Coalescence-Inoculumn-mBHI,False,B4-e003Coalescence-Inoculumn-mBHI,True,B4,True,0,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
301,D2-e003Coalescence-Inoculumn-mGAM,False,D2-e003Coalescence-Inoculumn-mGAM,True,D2,True,0,mGAM,mBHI,AF-AA,D2-AF-AA-mBHI-mGAM,AF-AA-mBHI-mGAM,AF-AA-mBHI
306,D3-e003Coalescence-Inoculumn-mGAM,False,D3-e003Coalescence-Inoculumn-mGAM,True,D3,True,0,mGAM,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
308,C5-e003Coalescence-Inoculumn-mGAM,False,C5-e003Coalescence-Inoculumn-mGAM,True,C5,True,0,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
320,A4-e003Coalescence-Inoculumn-mGAM,False,A4-e003Coalescence-Inoculumn-mGAM,True,A4,True,0,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
322,A5-e003Coalescence-Inoculumn-mBHI,False,A5-e003Coalescence-Inoculumn-mBHI,True,A5,True,0,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
