,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C10-e003Coalescence-mGAM-p7,0.25,0.0
A11-e003Coalescence-mGAM-p3,0.29575,0.0425
C10-e003Coalescence-mBHI-p3,0.25,0.0
D2-e003Coalescence-mBHI-p3,0.25,0.0
C5-e003GlycerolRevival-mBHI-p2,0.25,0.0
H5-e003Coalescence-mBHI-p5_S40,0.0,0.0
E2-e003Coalescence-mGAM-p7_S145,0.85275,0.292
G5-e003Coalescence-mBHI-p7_S124,0.25,0.0
H111-e003Coalescence-mGAM-p7_S188,0.0,0.0
H4-e003Coalescence-mGAM-p7_S183,0.25,0.0
F5-e003Coalescence-mGAM-p5_S64,0.25,0.0
F5-e003Coalescence-mGAM-p7_S160,0.25,0.0
F8-e003Coalescence-mBHI-p3_S117,0.25,0.0
H3-e003Coalescence-mBHI-p3_S46,0.25,0.0
H2-e003Coalescence-mBHI-p7_S133,0.25,0.0
E5-e003Coalescence-mBHI-p3_S12,0.0,0.0
F100-e003Coalescence-mGAM-p7_S163,0.248,0.0
F9-e003Coalescence-mBHI-p5_S18,0.25,0.0
H3-e003Coalescence-mBHI-p7_S134,0.0,0.0
E3-e003Coalescence-mGAM-p3_S58,0.25,0.0
G4-e003Coalescence-mBHI-p5_S27,0.25,0.0
E8-e003Coalescence-mBHI-p5_S5,0.75,1.0
G2-e003Coalescence-mBHI-p3_S33,0.0,0.0
E9-e003Coalescence-mBHI-p5_S6,0.25,0.0
H111-e003Coalescence-mBHI-p3_S144,0.0,0.0
G111-e003Coalescence-mGAM-p5_S80,0.25,0.0
G100-e003Coalescence-mGAM-p3_S179,0.25,0.0
F111-e003Coalescence-mGAM-p5_S68,0.25,0.0
G111-e003Coalescence-mBHI-p5_S32,0.25,0.0
G5-e003Coalescence-mBHI-p3_S36,0.0,0.0
H2-e003Coalescence-mGAM-p7_S181,0.0,0.0
H9-e003Coalescence-mGAM-p3_S190,0.25,0.0
E3-e003Coalescence-mBHI-p3_S10,0.25,0.0
H2-e003Coalescence-mGAM-p5_S85,0.0,0.0
G8-e003Coalescence-mGAM-p3_S177,0.25,0.0
F2-e003Coalescence-mGAM-p7_S157,0.25,0.0
H3-e003Coalescence-mGAM-p3_S94,0.25,0.0
H4-e003Coalescence-mGAM-p3_S95,0.25,0.0
E5-e003Coalescence-mBHI-p7_S100,0.25,0.0
F3-e003Coalescence-mGAM-p3_S70,0.25,0.0
E100-e003Coalescence-mBHI-p7_S103,0.25,0.0
F9-e003Coalescence-mGAM-p5_S66,0.24225,0.0
G111-e003Coalescence-mGAM-p7_S176,0.25,0.0
H100-e003Coalescence-mGAM-p7_S187,0.25,0.0
E100-e003Coalescence-mGAM-p3_S155,0.25,0.0015
E3-e003Coalescence-mGAM-p5_S50,0.25,0.014
F5-e003Coalescence-mGAM-p3_S72,0.25,0.0
E9-e003Coalescence-mBHI-p7_S102,0.25,0.0
E5-e003Coalescence-mBHI-p5_S4,0.25,0.0
F111-e003Coalescence-mGAM-p7_S164,0.25,0.0
E111-e003Coalescence-mBHI-p5_S8,0.0,0.0
H100-e003Coalescence-mBHI-p5_S43,0.25,0.0
F2-e003Coalescence-mGAM-p5_S61,0.25,0.0
F5-e003Coalescence-mBHI-p5_S16,0.0,0.0
F8-e003Coalescence-mGAM-p5_S65,0.25,0.0
H8-e003Coalescence-mBHI-p7_S137,0.25,0.03175
G9-e003Coalescence-mGAM-p5_S78,0.25,0.0
E2-e003Coalescence-mBHI-p5_S1,0.875,0.0
E2-e003Coalescence-mBHI-p3_S9,0.0,0.0
G8-e003Coalescence-mGAM-p5_S77,0.25,0.0
G3-e003Coalescence-mBHI-p3_S34,0.25,0.0
G100-e003Coalescence-mBHI-p5_S31,0.25,0.0
E111-e003Coalescence-mBHI-p3_S108,0.0,0.0
