,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C2-e003Coalescence-mBHI-inoculumn-redo,0.236,0.1565
A8-e003Coalescence-mGAM-p7,0.9954861007656903,0.9977095540074385
C11-e003GlycerolRevival-mGAM-p2,0.026763817817243622,0.02547678170990946
B2-e003Coalescence-Inoculumn-mBHI,0.20799999999999996,0.274
A11-e003Coalescence-mBHI-p5,0.00567717347638501,0.005404165817253522
C10-e003Coalescence-mGAM-p5,0.0019178804830118727,0.0011889164797957749
C4-e003Assembly-mBHI-p5,0.015141161707988468,0.011336392528748795
C9-e003Assembly-mGAM-p5,0.9572723973412968,0.06301338005090412
A5-e003Coalescence-Inoculumn-mGAM,0.41200000000000003,0.5085
A3-e003Coalescence-mBHI-p3,0.5780000000000001,0.4815
AG-Fecal,0.004945607134241579,0.018919467546888544
D4-e003Coalescence-Inoculumn-mGAM,0.42300000000000004,0.06931471805599453
A2-e003Coalescence-mBHI-p5,0.9940674467206216,0.834
B5-e004Assembly-mBHI-p5,0.086,0.009287738613927104
G2-e004Assembly-epsilon-p5,0.03133357528304904,0.028718861072830282
C5-e003Assembly-mBHI-p5,0.10898102811241402,0.07701635339554948
C10-e003Coalescence-mBHI-p5,0.004023525488836097,0.0024942303771939333
B9-e003Coalescence-mBHI-p3,0.007972201051944908,0.007588828594441116
C3-e003Coalescence-mBHI-inoculumn-redo,0.0335,0.0015922988568693413
B5-e003Coalescence-mGAM-p3,0.397,0.011966192113679283
C3-e003Assembly-mBHI-p5,0.15,0.021284400990249613
F2-e004Assembly-epsilon-p5,0.033571687803266824,0.02547678170990946
A5-e003Coalescence-mBHI-p3,0.14011846471596087,0.09902102579427789
C4-e004Assembly-mBHI-p7,0.405,0.045987461596586184
A4-e003Coalescence-mBHI-p3,0.012507916193555691,0.011104904864478059
C9-e003GlycerolRevival-mGAM-p2,0.8,0.03516688239738944
B2-e004Assembly-mBHI-p7,0.968666424716951,0.023778329595915495
B4-e004Assembly-mBHI-p3,0.5,0.03516688239738944
F3-e004Assembly-epsilon-p5,0.02341834059008817,0.02692393225577839
C9-e003Coalescence-mGAM-p5,0.246,0.006837824064959591
A2-e003Coalescence-mBHI-inoculumn-redo,0.9897256402695792,0.774
C2-e003Coalescence-mGAM-p5,0.012785869886745817,0.007926109865305165
B8-e003GlycerolRevival-mGAM-p2,0.728,0.9640397409435274
C8-e003Coalescence-mBHI-p5,0.241,0.2505
B8-e003Coalescence-mGAM-p7,0.008326521098698015,0.007926109865305165
B4-e003Coalescence-Inoculumn-mBHI,0.04700000000000004,0.0014097823871096144
D2-e003Coalescence-Inoculumn-mGAM,0.242,0.4935
B8-e003Coalescence-mBHI-p7,0.008515760214577516,0.008106248725880283
B3-e004Assembly-mBHI-p3,0.005427963631165677,0.0056399717052417015
D3-e003Coalescence-Inoculumn-mGAM,0.007972201051944908,0.007588828594441116
B11-e003Coalescence-mBHI-p3,0.0061425155646132905,0.00584713022850381
C5-e003Coalescence-Inoculumn-mGAM,0.49,0.007427291656766452
C4-e003Coalescence-mBHI-p5,0.188,0.00114569924492674
B2-e004Assembly-mBHI-p3,0.3395,0.02321934653481776
G3-e004Assembly-epsilon-p5,0.010705527126897449,0.012308083316927263
A11-e003Coalescence-mBHI-p3,0.0011989888501166724,0.000909885061068195
B2-e004Assembly-mBHI-p5,0.8705,0.009907637331631457
B4-e004Assembly-mBHI-p7,0.3055,0.02989185003778102
B2-e003Coalescence-mBHI-p7,0.8773963433735342,0.06385320297074884
A4-e003Coalescence-Inoculumn-mGAM,0.393,0.3815
B4-e003Coalescence-mBHI-p3,0.007103261048192121,0.004403394369613981
A5-e003Coalescence-Inoculumn-mBHI,0.1,0.333
A9-e003Coalescence-mGAM-p5,0.006812608171662013,0.006484998980704227
C10-e003Coalescence-mGAM-p7,0.0014529397598574793,0.000900694302875587
F3-e004Assembly-epsilon-p7,0.017031520429155032,0.0195810416405661
A11-e003Coalescence-mGAM-p3,0.028999999999999998,0.006717269671411465
C10-e003Coalescence-mBHI-p3,0.003287795113734639,0.0020381425367927567
D2-e003Coalescence-mBHI-p3,0.13,0.062
C5-e003GlycerolRevival-mBHI-p2,0.017031520429155032,0.016212497451760566
H5-e003Coalescence-mBHI-p5_S40,0.0039441415730674815,0.0037544730940919204
E2-e003Coalescence-mGAM-p7_S145,0.988809437398911,0.9974914162938613
G5-e003Coalescence-mBHI-p7_S124,0.0031486844490874848,0.003620024504978607
H111-e003Coalescence-mGAM-p7_S188,0.0035018079387047728,0.003333410691016191
H4-e003Coalescence-mGAM-p7_S183,0.005000038608997187,0.00543431514644671
F5-e003Coalescence-mGAM-p5_S64,0.22,0.006335042883712562
F5-e003Coalescence-mGAM-p7_S160,0.008245677706065536,0.007557595019165864
F8-e003Coalescence-mBHI-p3_S117,0.005510197785903098,0.006335042883712562
H3-e003Coalescence-mBHI-p3_S46,0.005352763563448724,0.0061540416584636316
H2-e003Coalescence-mBHI-p7_S133,0.0162910195409309,0.022209809728956118
E5-e003Coalescence-mBHI-p3_S12,0.020434940401988504,0.015507606258205759
F100-e003Coalescence-mGAM-p7_S163,0.377,0.005522857898621208
F9-e003Coalescence-mBHI-p5_S18,0.004306821257947249,0.004099711999295775
H3-e003Coalescence-mBHI-p7_S134,0.008921272605747873,0.00849226056996982
E3-e003Coalescence-mGAM-p3_S58,0.094,0.013587204562627736
G4-e003Coalescence-mBHI-p5_S27,0.122,0.0012256870925729637
E8-e003Coalescence-mBHI-p5_S5,0.9956079072908125,0.9635
G2-e003Coalescence-mBHI-p3_S33,0.02,0.0315
E9-e003Coalescence-mBHI-p5_S6,0.005510197785903098,0.005245219763804889
H111-e003Coalescence-mBHI-p3_S144,0.0010045400789313959,0.000956233093669524
G111-e003Coalescence-mGAM-p5_S80,0.31899999999999995,0.004307829160924542
G100-e003Coalescence-mGAM-p3_S179,0.01856013370656651,0.013896223099756588
F111-e003Coalescence-mGAM-p5_S68,0.012920463773841748,0.012299135997887326
G111-e003Coalescence-mBHI-p5_S32,0.013500000000000005,0.0011706057502512343
G5-e003Coalescence-mBHI-p3_S36,0.013381908908621811,0.01273839085495473
