,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C4-e004Assembly-mBHI-p3,0.004552219007658835,0.003451518621750367
A9-e003Coalescence-mBHI-p7,2.3334482041337236e-05,0.999942368508935
C2-e003Coalescence-Inoculumn-mGAM,0.688,0.011572617864588942
B3-e003Coalescence-Inoculumn-mGAM,8.624629709974482e-05,0.9993574043701792
D11-e003Coalescence-mGAM-p7,0.0002170486188079252,0.999670727699512
D5-e003Coalescence-mGAM-p3,0.00020154958018140168,0.9998002570266689
E5-e004Assembly-mGAM-p3,0.041373011700596735,0.03245194786705283
D2-e003Coalescence-Inoculumn-mBHI,0.012453034631169469,0.824
B4-e003Coalescence-Inoculumn-mGAM,0.414,0.5609999999999999
F2-e004Assembly-epsilon-p7,0.04531874985779266,0.041754652908236864
A10-e003Coalescence-mGAM-p7,0.943,0.004059223271904845
B2-e003Assembly-mBHI-p3,0.008506743509390463,0.00612245605327207
D9-e003Coalescence-mBHI-p5,8.074434802970466e-05,0.9998356543859754
C4-e003Coalescence-Inoculumn-mGAM,0.9991235122761782,0.0004659579056227194
D4-e003Coalescence-mGAM-p3,0.037,0.952
B9-e003Coalescence-mBHI-p7,0.00011623042567164622,0.9998034998093184
A2-e003Coalescence-mGAM-p5,0.007185011852918053,0.005029389519917561
D11-e003Assembly-mGAM-p5,0.004441332177890422,0.9937138258359508
C3-e003Coalescence-mGAM-p7,0.9999471357040683,1.1088944142828512e-05
B11-e003GlycerolRevival-mGAM-p2,0.0052035695027742674,0.9933812192279748
C5-e004Assembly-mBHI-p7,0.0326919816448193,0.02867879555648639
B3-e003Coalescence-mGAM-p5,0.9999061428581241,3.0182253001511167e-05
D9-e003Coalescence-mBHI-p7,0.00017308759835219658,0.9997484837083774
G5-e004Assembly-epsilon-p5,0.012625092223287731,0.009304808421888872
B10-e003Assembly-mGAM-p3,0.9318077751877818,0.06125133343853124
D3-e004Assembly-mGAM-p5,0.016174727290203028,0.01269191944396508
C5-e003Coalescence-mBHI-p7,0.00032337442787687713,0.9995413770572195
D12-e003Coalescence-mBHI-p3,0.00042090300349614546,0.999341785398886
D4-e004Assembly-mGAM-p7,0.021800306877820058,0.017874062220799715
C11-e003Coalescence-mGAM-p7,0.809,0.177
C11-e003Assembly-mGAM-p3,0.0015107911041527615,0.990999869029676
