,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
H9-e003Coalescence-mGAM-p3_S190,0.228464088845655,0.2353704515919428
E3-e003Coalescence-mBHI-p3_S10,0.43762581063553824,0.511657326185835
H2-e003Coalescence-mGAM-p5_S85,0.19727553501945524,0.18858373944119558
G8-e003Coalescence-mGAM-p3_S177,0.07326086251621271,0.8944282001299546
F2-e003Coalescence-mGAM-p7_S157,0.0034234760051880687,0.9823170077972709
H3-e003Coalescence-mGAM-p3_S94,0.21442898832684823,0.45632797270955167
H4-e003Coalescence-mGAM-p3_S95,0.26251232166018157,0.30394135802469135
E5-e003Coalescence-mBHI-p7_S100,0.2816771238651103,0.2851932261208577
G111-e003Coalescence-mBHI-p3_S132,0.11705463683527886,0.12657220597790772
F3-e003Coalescence-mGAM-p3_S70,0.00028623540856031126,0.96453216374269
E100-e003Coalescence-mBHI-p7_S103,0.3263621919584955,0.6165519005847954
F9-e003Coalescence-mGAM-p5_S66,0.2906671530479896,0.2973996101364522
G111-e003Coalescence-mGAM-p7_S176,0.00981274319066148,0.5355790285899936
H100-e003Coalescence-mGAM-p7_S187,0.16003850518806745,0.5870027615334633
E100-e003Coalescence-mGAM-p3_S155,0.09790880350194552,0.8862011046133853
E3-e003Coalescence-mGAM-p5_S50,0.0029677367055771734,0.9883252923976609
F5-e003Coalescence-mGAM-p3_S72,0.13120306420233463,0.6315064165042236
E9-e003Coalescence-mBHI-p7_S102,0.3125380188067445,0.28935055230669265
E5-e003Coalescence-mBHI-p5_S4,0.28778477626459137,0.29124878167641327
F111-e003Coalescence-mGAM-p7_S164,0.28704750324254213,0.28799967511371016
E111-e003Coalescence-mBHI-p5_S8,0.29432490272373546,0.2977711176088369
H100-e003Coalescence-mBHI-p5_S43,0.2921930123216602,0.30297798895386613
F2-e003Coalescence-mGAM-p5_S61,0.0006568579766536967,0.9856723521767381
F5-e003Coalescence-mBHI-p5_S16,0.28757506485084305,0.29486216699155293
F8-e003Coalescence-mGAM-p5_S65,0.2880173476005188,0.2903511208576998
H8-e003Coalescence-mBHI-p7_S137,0.2918441958495461,0.298825860948668
G9-e003Coalescence-mGAM-p5_S78,0.028914396887159532,0.9053046621182586
E2-e003Coalescence-mBHI-p5_S1,0.9464586575875485,0.00455230669265757
E2-e003Coalescence-mBHI-p3_S9,0.9527219520103761,0.0013732131254061077
G8-e003Coalescence-mGAM-p5_S77,0.16445679312581063,0.8067339993502274
G3-e003Coalescence-mBHI-p3_S34,0.0004319066147859923,0.9960499512670566
G100-e003Coalescence-mBHI-p5_S31,0.00043004215304798975,0.9959423326835608
F9-e003Coalescence-mBHI-p3_S118,0.24468271725032426,0.24925568551007146
E111-e003Coalescence-mBHI-p3_S108,0.280583981841764,0.28692698180636783
G3-e003Coalescence-mBHI-p5_S26,0.0005296692607003892,0.9963398310591294
G5-e003Coalescence-mBHI-p5_S28,0.28614129377431907,0.31679459064327486
H111-e003Coalescence-mGAM-p5_S92,0.291583981841764,0.2976817738791423
G4-e003Coalescence-mBHI-p3_S35,0.03363715953307393,0.9133964424951267
H9-e003Coalescence-mGAM-p5_S90,0.2877452983138781,0.2947534113060429
H2-e003Coalescence-mBHI-p3_S45,0.3506210278858625,0.2686729207277453
E8-e003Coalescence-mBHI-p7_S101,0.9012664559014268,0.04087743664717349
E4-e003Coalescence-mBHI-p5_S3,0.0016008430609597928,0.9895013807667317
H2-e003Coalescence-mGAM-p3_S93,0.2836807717250324,0.29531871345029237
E4-e003Coalescence-mGAM-p5_S51,0.00033471141374837867,0.9782256335282652
G9-e003Coalescence-mGAM-p7_S174,0.02289380674448768,0.936458983105913
F2-e003Coalescence-mBHI-p3_S21,0.5702472438391699,0.37454938271604943
E8-e003Coalescence-mGAM-p3_S153,0.0003839980544747082,0.9972004548408057
G111-e003Coalescence-mGAM-p3_S180,0.07912945849546045,0.7868953866146849
G5-e003Coalescence-mGAM-p3_S84,0.23820646887159536,0.4195288336582196
H8-e003Coalescence-mBHI-p5_S41,0.2945178339818418,0.2996016081871345
E100-e003Coalescence-mBHI-p5_S7,0.4816264591439689,0.4849143112410656
G100-e003Coalescence-mGAM-p7_S175,0.00032976653696498056,0.9900690383365821
F9-e003Coalescence-mGAM-p7_S162,0.2872922341115434,0.29320833333333335
E2-e003Coalescence-mBHI-p7_S97,0.8006345654993515,0.0007281513970110461
F8-e003Coalescence-mGAM-p7_S161,0.2809421206225681,0.2847571474983755
F3-e003Coalescence-mBHI-p3_S22,0.0003838359273670558,0.9940670890188433
G3-e003Coalescence-mBHI-p7_S122,0.0004077496757457847,0.9955373619233269
G5-e003Coalescence-mGAM-p5_S76,0.24870752269779509,0.3980319200779727
