,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
H2-e003Coalescence-mBHI-p7_S133,0.792,0.9769292064755578
E5-e003Coalescence-mBHI-p3_S12,0.9902981064645996,0.988336348408927
F100-e003Coalescence-mGAM-p7_S163,0.511,0.25
F9-e003Coalescence-mBHI-p5_S18,0.901,0.9926897842905748
H3-e003Coalescence-mBHI-p7_S134,0.9781835540029963,0.9848574103161906
E3-e003Coalescence-mGAM-p3_S58,0.5,0.007916061233368538
G4-e003Coalescence-mBHI-p5_S27,0.001755414514659762,0.044
E8-e003Coalescence-mBHI-p5_S5,-0.0,0.004050597336352445
G2-e003Coalescence-mBHI-p3_S33,0.004959472075397968,0.0033816183909535506
E9-e003Coalescence-mBHI-p5_S6,0.902,0.9935982636579729
H111-e003Coalescence-mBHI-p3_S144,0.92,0.998294936282252
G111-e003Coalescence-mGAM-p5_S80,0.338,0.25
G100-e003Coalescence-mGAM-p3_S179,0.016478245927935186,0.011235699815103733
F111-e003Coalescence-mGAM-p5_S68,0.9923053947822686,0.9817024741013045
G111-e003Coalescence-mBHI-p5_S32,0.909,0.985
G5-e003Coalescence-mBHI-p3_S36,0.9920305874530639,0.9772861154742858
H2-e003Coalescence-mGAM-p7_S181,0.902,0.9954177045130753
H9-e003Coalescence-mGAM-p3_S190,0.9432415973593343,0.9014107561110107
E3-e003Coalescence-mBHI-p3_S10,0.016478245927935186,0.011235699815103733
H2-e003Coalescence-mGAM-p5_S85,0.8854636585157306,0.8191351271329593
G8-e003Coalescence-mGAM-p3_S177,0.006466147136278364,0.004408945497066021
F2-e003Coalescence-mGAM-p7_S157,0.006903048969810685,0.0047068472198407525
H3-e003Coalescence-mGAM-p3_S94,0.833,0.571
H4-e003Coalescence-mGAM-p3_S95,0.9828351114373685,0.9903720659266149
E5-e003Coalescence-mBHI-p7_S100,0.714,0.842
G111-e003Coalescence-mBHI-p3_S132,,0.5952552365633976
F3-e003Coalescence-mGAM-p3_S70,0.9427318292578654,0.03316426569138565
E100-e003Coalescence-mBHI-p7_S103,0.002761219587924274,0.001882738887936301
F9-e003Coalescence-mGAM-p5_S66,0.927,0.9919385542359658
G111-e003Coalescence-mGAM-p7_S176,,0.1076816860537686
H100-e003Coalescence-mGAM-p7_S187,0.579,0.467
E100-e003Coalescence-mGAM-p3_S155,0.0058715588938619626,0.005003655991469488
E3-e003Coalescence-mGAM-p5_S50,0.004520580741291953,0.0046958252306386755
F5-e003Coalescence-mGAM-p3_S72,0.5,0.5
E9-e003Coalescence-mBHI-p7_S102,0.912,0.861
E5-e003Coalescence-mBHI-p5_S4,0.9684037678664085,0.9817024741013045
F111-e003Coalescence-mGAM-p7_S164,0.9925618816228596,0.9823123916312609
E111-e003Coalescence-mBHI-p5_S8,0.86,0.9937573146933862
H100-e003Coalescence-mBHI-p5_S43,0.914,0.989
F2-e003Coalescence-mGAM-p5_S61,0.004729866886722136,0.0032250619839649603
F5-e003Coalescence-mBHI-p5_S16,0.9939690932077241,0.9966172123525945
F8-e003Coalescence-mGAM-p5_S65,0.9541854634062923,0.9937418428522997
H8-e003Coalescence-mBHI-p7_S137,0.868,0.9971607644342857
G9-e003Coalescence-mGAM-p5_S78,0.019647139375615026,0.020408778887006554
E2-e003Coalescence-mBHI-p5_S1,-0.0,0.022109510460923767
E2-e003Coalescence-mBHI-p3_S9,-0.0,0.018926872663384588
G8-e003Coalescence-mGAM-p5_S77,0.005613468393032865,0.0038275460908595133
G3-e003Coalescence-mBHI-p3_S34,0.002791396851180277,0.0028996079293014776
G100-e003Coalescence-mBHI-p5_S31,0.0028067341965164324,0.002915539841000936
F9-e003Coalescence-mBHI-p3_S118,0.9814047040571492,0.9637234940618462
E111-e003Coalescence-mBHI-p3_S108,0.9890917770014982,0.991026526162186
G3-e003Coalescence-mBHI-p5_S26,0.002076526925878011,0.001415880871009007
G5-e003Coalescence-mBHI-p5_S28,0.94,0.953
H111-e003Coalescence-mGAM-p5_S92,0.918,0.9940561797502804
G4-e003Coalescence-mBHI-p3_S35,0.0019423027519619419,0.091
H9-e003Coalescence-mGAM-p5_S90,0.84,0.9885442612826882
H2-e003Coalescence-mBHI-p3_S45,0.783,0.848
E8-e003Coalescence-mBHI-p7_S101,0.04600000000000004,0.061
E4-e003Coalescence-mBHI-p5_S3,0.007194727095295644,0.006131240440251345
H2-e003Coalescence-mGAM-p3_S93,0.9633483707250338,0.9949934742818397
E4-e003Coalescence-mGAM-p5_S51,0.01380609793962137,0.009413694439681505
G9-e003Coalescence-mGAM-p7_S174,0.088,0.053
F2-e003Coalescence-mBHI-p3_S21,0.1365,0.01451277892784232
E8-e003Coalescence-mGAM-p3_S153,0.0011251665721717858,0.000958850377219924
G111-e003Coalescence-mGAM-p3_S180,0.438,0.234
G5-e003Coalescence-mGAM-p3_S84,0.882,0.714
H8-e003Coalescence-mBHI-p5_S41,0.881,0.9965435393113043
E100-e003Coalescence-mBHI-p5_S7,0.0026885559145578457,0.0022911477434623445
G100-e003Coalescence-mGAM-p7_S175,0.009121886138678406,0.006219762397646709
F9-e003Coalescence-mGAM-p7_S162,0.9902981064645996,0.994558124219391
E2-e003Coalescence-mBHI-p7_S97,0.0916290731874155,0.07537718023763802
F8-e003Coalescence-mGAM-p7_S161,0.9876031360380995,0.964667290737778
F3-e003Coalescence-mBHI-p3_S22,0.003728654188072925,0.0025423846296950053
G3-e003Coalescence-mBHI-p7_S122,0.0032745232292691715,0.0022327352196680494
G5-e003Coalescence-mGAM-p5_S76,0.895,0.885
G5-e003Coalescence-mGAM-p7_S172,0.895,0.828
G4-e003Coalescence-mGAM-p5_S75,0.005377111829115691,0.066
G8-e003Coalescence-mBHI-p3_S129,0.0019876483415019095,0.0013552789660241857
E5-e003Coalescence-mGAM-p3_S60,0.667,0.9838771084719317
G2-e003Coalescence-mGAM-p5_S73,0.0060097132207763615,0.004097725814920185
E5-e003Coalescence-mGAM-p7_S148,0.855,0.9924287051580952
H9-e003Coalescence-mGAM-p7_S186,0.857,0.9871965273159458
E100-e003Coalescence-mGAM-p5_S55,0.012162514851571207,0.008293016530195612
E8-e003Coalescence-mGAM-p5_S53,-0.0,0.006891275987820395
