,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
D10-e003Coalescence-mBHI-p7,0.0045051266117756734,0.9884227815114524
C9-e003Coalescence-mBHI-p7,0.000637952462327171,0.9951537512001097
A2-e003Coalescence-mBHI-p3,0.9663338511729067,0.005976340694006308
B8-e003Coalescence-mGAM-p5,0.0010102532235513437,0.9903040049375943
C3-e004Assembly-mBHI-p3,0.2577435917352804,0.2238086682210945
C11-e003Assembly-mGAM-p5,0.0006392729532390866,0.8930157728706624
B10-e003GlycerolRevival-mGAM-p2,0.23818486872766814,0.18749142778768343
B3-e003Coalescence-mBHI-p5,0.33266878980891723,0.25068810862707447
C2-e003Coalescence-mBHI-inoculumn-redo,0.41879244989902126,0.21455067891921548
A8-e003Coalescence-mGAM-p7,0.9836402827404069,0.0007238376080098752
C11-e003GlycerolRevival-mGAM-p2,0.0003823986329035265,0.9429276505280482
B2-e003Coalescence-Inoculumn-mBHI,0.474576821500699,0.18809244273762174
A11-e003Coalescence-mBHI-p5,0.0021260680441199317,0.9948968591414071
C10-e003Coalescence-mGAM-p5,0.3320682771477397,0.2518162803456316
C4-e003Assembly-mBHI-p5,0.32966055615970175,0.249841448360993
C9-e003Assembly-mGAM-p5,0.23959220133602607,0.29327938554382116
A5-e003Coalescence-Inoculumn-mGAM,0.39407029672207544,0.5746653408311617
A3-e003Coalescence-mBHI-p3,0.6856851017554764,0.1101841311205596
AG-Fecal,0.25879679975143705,0.22588129200384036
D4-e003Coalescence-Inoculumn-mGAM,0.12239785614416654,0.49232697846660267
A2-e003Coalescence-mBHI-p5,0.9754154109057014,0.0008747771224797696
B5-e004Assembly-mBHI-p5,0.2714877272021128,0.2405268138801262
G2-e004Assembly-epsilon-p5,0.26140531303402204,0.23648450144013167
C5-e003Assembly-mBHI-p5,0.00786127077831288,0.5277441366067754
C10-e003Coalescence-mBHI-p5,0.33149448500854434,0.2531530654231244
B9-e003Coalescence-mBHI-p3,0.0005308373465900264,0.9955648059251132
C3-e003Coalescence-mBHI-inoculumn-redo,0.3311221842473202,0.24983897956384582
B5-e003Coalescence-mGAM-p3,0.08489272953239085,0.7738310245508161
C3-e003Assembly-mBHI-p5,0.2450457511263011,0.23168824578247155
F2-e004Assembly-epsilon-p5,0.2575347988193258,0.23393930873679877
A5-e003Coalescence-mBHI-p3,0.009581016001242814,0.497775888081196
C4-e004Assembly-mBHI-p7,0.2674098182383098,0.22855170758469345
A4-e003Coalescence-mBHI-p3,0.3288816995494796,0.24798491290632285
C9-e003GlycerolRevival-mGAM-p2,0.2479393350939879,0.29423206693183374
B2-e004Assembly-mBHI-p7,0.27059429858629797,0.23541585516390068
B4-e004Assembly-mBHI-p3,0.26631373310548395,0.22717123851323548
F3-e004Assembly-epsilon-p5,0.2502509709491999,0.21744952681388013
C9-e003Coalescence-mGAM-p5,0.21849961162032003,0.492546358524208
A2-e003Coalescence-mBHI-inoculumn-redo,0.9824436072704675,0.0007810314085859279
C2-e003Coalescence-mGAM-p5,0.3289392574180519,0.2502709504869017
B8-e003GlycerolRevival-mGAM-p2,0.670328025477707,0.0005670004114661912
C8-e003Coalescence-mBHI-p5,0.47738270933664756,0.19411486764504185
B8-e003Coalescence-mGAM-p7,0.0004920770545285071,0.9961138389795638
B4-e003Coalescence-Inoculumn-mBHI,0.33168448034798825,0.25000562337127963
D2-e003Coalescence-Inoculumn-mGAM,0.3828816995494796,0.5841236455904539
