,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
E3-e003Coalescence-mGAM-p3_S58,12594,14542
G4-e003Coalescence-mBHI-p5_S27,12965,14667
E8-e003Coalescence-mBHI-p5_S5,12717,14374
G2-e003Coalescence-mBHI-p3_S33,12824,14643
E9-e003Coalescence-mBHI-p5_S6,13023,14503
H111-e003Coalescence-mBHI-p3_S144,13024,14593
G111-e003Coalescence-mGAM-p5_S80,13018,14671
G100-e003Coalescence-mGAM-p3_S179,12671,14521
F111-e003Coalescence-mGAM-p5_S68,12870,14278
G111-e003Coalescence-mBHI-p5_S32,13052,14611
G5-e003Coalescence-mBHI-p3_S36,12914,14380
H2-e003Coalescence-mGAM-p7_S181,13031,14550
H9-e003Coalescence-mGAM-p3_S190,10388,11364
E3-e003Coalescence-mBHI-p3_S10,12745,14485
H2-e003Coalescence-mGAM-p5_S85,9113,9713
G8-e003Coalescence-mGAM-p3_S177,12634,14431
F2-e003Coalescence-mGAM-p7_S157,12728,14568
H3-e003Coalescence-mGAM-p3_S94,12816,14375
H4-e003Coalescence-mGAM-p3_S95,12324,13650
E5-e003Coalescence-mBHI-p7_S100,12824,14209
G111-e003Coalescence-mBHI-p3_S132,5680,5841
F3-e003Coalescence-mGAM-p3_S70,12499,14312
E100-e003Coalescence-mBHI-p7_S103,12802,14466
F9-e003Coalescence-mGAM-p5_S66,13002,14489
G111-e003Coalescence-mGAM-p7_S176,6909,8263
H100-e003Coalescence-mGAM-p7_S187,12878,14496
E100-e003Coalescence-mGAM-p3_S155,12849,14627
E3-e003Coalescence-mGAM-p5_S50,12751,14606
F5-e003Coalescence-mGAM-p3_S72,12395,14003
E9-e003Coalescence-mBHI-p7_S102,13026,14535
E5-e003Coalescence-mBHI-p5_S4,12858,14212
F111-e003Coalescence-mGAM-p7_S164,12850,14272
E111-e003Coalescence-mBHI-p5_S8,13030,14514
H100-e003Coalescence-mBHI-p5_S43,13056,14592
F2-e003Coalescence-mGAM-p5_S61,12707,14586
F5-e003Coalescence-mBHI-p5_S16,12957,14368
F8-e003Coalescence-mGAM-p5_S65,12854,14230
H8-e003Coalescence-mBHI-p7_S137,13046,14536
G9-e003Coalescence-mGAM-p5_S78,12688,14462
E2-e003Coalescence-mBHI-p5_S1,12520,14155
E2-e003Coalescence-mBHI-p3_S9,12530,14120
G8-e003Coalescence-mGAM-p5_S77,12803,14587
G3-e003Coalescence-mBHI-p3_S34,12834,14647
G100-e003Coalescence-mBHI-p5_S31,12865,14644
F9-e003Coalescence-mBHI-p3_S118,11399,12259
