,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
H111-e003Coalescence-mBHI-p5_S44,13475,15045
E111-e003Coalescence-mBHI-p7_S104,13159,14664
E2-e003Coalescence-mGAM-p3_S57,13101,14763
F2-e003Coalescence-mBHI-p5_S13,13368,15108
F4-e003Coalescence-mBHI-p3_S23,13264,15075
F2-e003Coalescence-mGAM-p3_S69,13119,14969
E9-e003Coalescence-mGAM-p5_S54,13062,14435
G3-e003Coalescence-mGAM-p5_S74,13248,15079
E111-e003Coalescence-mGAM-p5_S56,13307,14844
G100-e003Coalescence-mGAM-p5_S79,13269,15074
H100-e003Coalescence-mGAM-p5_S91,13327,14908
G9-e003Coalescence-mBHI-p3_S130,13013,14451
E4-e003Coalescence-mGAM-p7_S147,13263,15068
E4-e003Coalescence-mGAM-p3_S59,13204,15037
H4-e003Coalescence-mBHI-p5_S39,13443,15021
F4-e003Coalescence-mGAM-p3_S71,13265,15072
H100-e003Coalescence-mBHI-p7_S139,13444,14992
G8-e003Coalescence-mBHI-p5_S29,13424,15105
G2-e003Coalescence-mBHI-p5_S25,13218,15056
G8-e003Coalescence-mGAM-p7_S173,13276,15059
E4-e003Coalescence-mBHI-p3_S11,13205,15038
E2-e003Coalescence-mGAM-p5_S49,12990,14678
H9-e003Coalescence-mBHI-p5_S42,13429,14989
H111-e003Coalescence-mGAM-p3_S192,13445,14984
F5-e003Coalescence-mBHI-p3_S24,13412,14926
E8-e003Coalescence-mBHI-p3_S105,12739,14352
E8-e003Coalescence-mGAM-p7_S149,13080,14747
H5-e003Coalescence-mBHI-p7_S136,13134,14552
G9-e003Coalescence-mBHI-p5_S30,13458,15029
F111-e003Coalescence-mBHI-p7_S116,13059,14464
F5-e003Coalescence-mBHI-p7_S112,13380,14899
F4-e003Coalescence-mGAM-p7_S159,13260,15058
F111-e003Coalescence-mBHI-p3_S120,13149,14573
H3-e003Coalescence-mGAM-p5_S86,13405,15018
E4-e003Coalescence-mBHI-p7_S99,12993,14880
H4-e003Coalescence-mGAM-p5_S87,13359,14868
E100-e003Coalescence-mGAM-p7_S151,12871,14774
G9-e003Coalescence-mGAM-p3_S178,13288,15056
H9-e003Coalescence-mBHI-p7_S138,13062,14541
H8-e003Coalescence-mGAM-p7_S185,13466,15083
G2-e003Coalescence-mGAM-p3_S81,13188,15043
F111-e003Coalescence-mBHI-p5_S20,13119,14458
F8-e003Coalescence-mBHI-p5_S17,13447,14985
G100-e003Coalescence-mBHI-p7_S127,13265,15067
E5-e003Coalescence-mGAM-p5_S52,13252,14690
