,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage
136,C9-e003Coalescence-mBHI-p7,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,7
137,C9-e003Coalescence-mGAM-p3,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,3
138,C9-e003Coalescence-mGAM-p5,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,5
139,C9-e003Coalescence-mGAM-p7,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,7
140,D10-e003Coalescence-mBHI-p5,e003,e003Coalescence,D10,AF-AE,False,mGAM,mBHI,5
141,D10-e003Coalescence-mBHI-p7,e003,e003Coalescence,D10,AF-AE,False,mGAM,mBHI,7
142,D10-e003Coalescence-mGAM-p5,e003,e003Coalescence,D10,AF-AE,False,mGAM,mGAM,5
143,D10-e003Coalescence-mGAM-p7,e003,e003Coalescence,D10,AF-AE,False,mGAM,mGAM,7
144,D11-e003Coalescence-mBHI-p5,e003,e003Coalescence,D11,AF-AF,False,mGAM,mBHI,5
145,D11-e003Coalescence-mGAM-p5,e003,e003Coalescence,D11,AF-AF,False,mGAM,mGAM,5
146,D11-e003Coalescence-mGAM-p7,e003,e003Coalescence,D11,AF-AF,False,mGAM,mGAM,7
147,D2-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D2,AF-AA,True,mBHI,mBHI,0
148,D2-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D2,AF-AA,True,mGAM,mGAM,0
149,D2-e003Coalescence-mBHI-p3,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,3
150,D2-e003Coalescence-mBHI-p5,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,5
151,D2-e003Coalescence-mBHI-p7,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,7
152,D2-e003Coalescence-mGAM-p5,e003,e003Coalescence,D2,AF-AA,False,mBHI,mGAM,5
153,D3-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D3,AF-AC/PP,True,mBHI,mBHI,0
154,D3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D3,AF-AC/PP,True,mGAM,mGAM,0
155,D3-e003Coalescence-mBHI-p5,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mBHI,5
156,D3-e003Coalescence-mBHI-p7,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mBHI,7
157,D3-e003Coalescence-mGAM-p3,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mGAM,3
158,D3-e003Coalescence-mGAM-p5,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mGAM,5
159,D4-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D4,AF-AE,True,mBHI,mBHI,0
160,D4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D4,AF-AE,True,mGAM,mGAM,0
161,D4-e003Coalescence-mBHI-p3,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,3
162,D4-e003Coalescence-mBHI-p5,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,5
163,D4-e003Coalescence-mBHI-p7,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,7
164,D4-e003Coalescence-mGAM-p3,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,3
165,D4-e003Coalescence-mGAM-p5,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,5
166,D4-e003Coalescence-mGAM-p7,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,7
167,D5-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D5,AF-AF,True,mBHI,mBHI,0
168,D5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D5,AF-AF,True,mGAM,mGAM,0
169,D5-e003Coalescence-mBHI-p3,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,3
170,D5-e003Coalescence-mBHI-p5,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,5
171,D5-e003Coalescence-mBHI-p7,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,7
172,D5-e003Coalescence-mGAM-p3,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,3
173,D5-e003Coalescence-mGAM-p5,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,5
174,D5-e003Coalescence-mGAM-p7,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,7
175,D8-e003Coalescence-mBHI-p3,e003,e003Coalescence,D8,AF-AA,False,mGAM,mBHI,3
176,D8-e003Coalescence-mBHI-p5,e003,e003Coalescence,D8,AF-AA,False,mGAM,mBHI,5
177,D8-e003Coalescence-mGAM-p3,e003,e003Coalescence,D8,AF-AA,False,mGAM,mGAM,3
178,D8-e003Coalescence-mGAM-p5,e003,e003Coalescence,D8,AF-AA,False,mGAM,mGAM,5
179,D9-e003Coalescence-mBHI-p3,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,3
180,D9-e003Coalescence-mBHI-p5,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,5
181,D9-e003Coalescence-mBHI-p7,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,7
182,D9-e003Coalescence-mGAM-p5,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mGAM,5
183,D9-e003Coalescence-mGAM-p7,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mGAM,7
