,sample 2,fixed diffs,sample 1
69,D4-e003Coalescence-Inoculumn-mBHI,26231,A2-e003Coalescence-Inoculumn-mGAM
70,D4-e003Coalescence-Inoculumn-mGAM,4655,A2-e003Coalescence-Inoculumn-mGAM
71,D4-e003Coalescence-mGAM-p5,2187,A2-e003Coalescence-Inoculumn-mGAM
72,D4-e003Coalescence-mGAM-p7,3827,A2-e003Coalescence-Inoculumn-mGAM
73,D5-e003Coalescence-Inoculumn-mBHI,13606,A2-e003Coalescence-Inoculumn-mGAM
74,D5-e003Coalescence-Inoculumn-mGAM,63558,A2-e003Coalescence-Inoculumn-mGAM
75,D5-e003Coalescence-mBHI-p5,1859,A2-e003Coalescence-Inoculumn-mGAM
76,D5-e003Coalescence-mGAM-p5,2282,A2-e003Coalescence-Inoculumn-mGAM
77,D8-e003Coalescence-mBHI-p5,2624,A2-e003Coalescence-Inoculumn-mGAM
78,D8-e003Coalescence-mGAM-p5,88,A2-e003Coalescence-Inoculumn-mGAM
79,D9-e003Coalescence-mGAM-p5,10086,A2-e003Coalescence-Inoculumn-mGAM
80,D9-e003Coalescence-mGAM-p7,7277,A2-e003Coalescence-Inoculumn-mGAM
0,A10-e003Coalescence-mBHI-p7,13,A2-e003Coalescence-mBHI-inoculumn-redo
1,A11-e003Coalescence-mBHI-p5,3276,A2-e003Coalescence-mBHI-inoculumn-redo
2,A11-e003Coalescence-mBHI-p7,386,A2-e003Coalescence-mBHI-inoculumn-redo
3,A11-e003Coalescence-mGAM-p7,4443,A2-e003Coalescence-mBHI-inoculumn-redo
4,A2-e003Coalescence-Inoculumn-mBHI,0,A2-e003Coalescence-mBHI-inoculumn-redo
5,A2-e003Coalescence-Inoculumn-mGAM,5584,A2-e003Coalescence-mBHI-inoculumn-redo
6,A2-e003Coalescence-mBHI-inoculumn-redo,0,A2-e003Coalescence-mBHI-inoculumn-redo
7,A2-e003Coalescence-mBHI-p5,0,A2-e003Coalescence-mBHI-inoculumn-redo
8,A2-e003Coalescence-mGAM-p5,0,A2-e003Coalescence-mBHI-inoculumn-redo
9,A2-e003Coalescence-mGAM-p7,0,A2-e003Coalescence-mBHI-inoculumn-redo
10,A3-e003Coalescence-Inoculumn-mGAM,3007,A2-e003Coalescence-mBHI-inoculumn-redo
11,A3-e003Coalescence-mBHI-inoculumn-redo,497,A2-e003Coalescence-mBHI-inoculumn-redo
12,A4-e003Coalescence-Inoculumn-mGAM,5461,A2-e003Coalescence-mBHI-inoculumn-redo
13,A4-e003Coalescence-mBHI-inoculumn-redo,152,A2-e003Coalescence-mBHI-inoculumn-redo
14,A4-e003Coalescence-mBHI-p7,3,A2-e003Coalescence-mBHI-inoculumn-redo
15,A5-e003Coalescence-Inoculumn-mBHI,621,A2-e003Coalescence-mBHI-inoculumn-redo
16,A5-e003Coalescence-Inoculumn-mGAM,6747,A2-e003Coalescence-mBHI-inoculumn-redo
17,A5-e003Coalescence-mBHI-inoculumn-redo,1168,A2-e003Coalescence-mBHI-inoculumn-redo
18,A5-e003Coalescence-mBHI-p7,3969,A2-e003Coalescence-mBHI-inoculumn-redo
19,A8-e003Coalescence-mBHI-p7,3429,A2-e003Coalescence-mBHI-inoculumn-redo
20,A9-e003Coalescence-mBHI-p7,3328,A2-e003Coalescence-mBHI-inoculumn-redo
21,A9-e003Coalescence-mGAM-p5,3529,A2-e003Coalescence-mBHI-inoculumn-redo
22,A9-e003Coalescence-mGAM-p7,3632,A2-e003Coalescence-mBHI-inoculumn-redo
23,B10-e003Coalescence-mGAM-p7,4284,A2-e003Coalescence-mBHI-inoculumn-redo
24,B11-e003Coalescence-mGAM-p7,8582,A2-e003Coalescence-mBHI-inoculumn-redo
25,B2-e003Coalescence-Inoculumn-mBHI,1990,A2-e003Coalescence-mBHI-inoculumn-redo
26,B2-e003Coalescence-Inoculumn-mGAM,4779,A2-e003Coalescence-mBHI-inoculumn-redo
27,B2-e003Coalescence-mBHI-p5,1815,A2-e003Coalescence-mBHI-inoculumn-redo
28,B2-e003Coalescence-mGAM-p7,7268,A2-e003Coalescence-mBHI-inoculumn-redo
29,B3-e003Coalescence-Inoculumn-mBHI,7035,A2-e003Coalescence-mBHI-inoculumn-redo
30,B3-e003Coalescence-Inoculumn-mGAM,22060,A2-e003Coalescence-mBHI-inoculumn-redo
31,B3-e003Coalescence-mBHI-p7,5442,A2-e003Coalescence-mBHI-inoculumn-redo
32,B3-e003Coalescence-mGAM-p5,7841,A2-e003Coalescence-mBHI-inoculumn-redo
33,B4-e003Coalescence-Inoculumn-mBHI,7778,A2-e003Coalescence-mBHI-inoculumn-redo
34,B4-e003Coalescence-Inoculumn-mGAM,15841,A2-e003Coalescence-mBHI-inoculumn-redo
35,B4-e003Coalescence-mGAM-p5,10955,A2-e003Coalescence-mBHI-inoculumn-redo
36,B5-e003Coalescence-Inoculumn-mBHI,5672,A2-e003Coalescence-mBHI-inoculumn-redo
37,B5-e003Coalescence-Inoculumn-mGAM,41059,A2-e003Coalescence-mBHI-inoculumn-redo
38,B5-e003Coalescence-mGAM-p5,1227,A2-e003Coalescence-mBHI-inoculumn-redo
39,B5-e003Coalescence-mGAM-p7,2622,A2-e003Coalescence-mBHI-inoculumn-redo
40,B8-e003Coalescence-mGAM-p5,34202,A2-e003Coalescence-mBHI-inoculumn-redo
41,B9-e003Coalescence-mGAM-p5,7126,A2-e003Coalescence-mBHI-inoculumn-redo
42,C2-e003Coalescence-Inoculumn-mGAM,4672,A2-e003Coalescence-mBHI-inoculumn-redo
43,C2-e003Coalescence-mBHI-inoculumn-redo,88,A2-e003Coalescence-mBHI-inoculumn-redo
44,C2-e003Coalescence-mBHI-p7,3,A2-e003Coalescence-mBHI-inoculumn-redo
45,C2-e003Coalescence-mGAM-p5,12,A2-e003Coalescence-mBHI-inoculumn-redo
46,C2-e003Coalescence-mGAM-p7,12,A2-e003Coalescence-mBHI-inoculumn-redo
47,C3-e003Coalescence-Inoculumn-mGAM,7057,A2-e003Coalescence-mBHI-inoculumn-redo
48,C3-e003Coalescence-mBHI-inoculumn-redo,7694,A2-e003Coalescence-mBHI-inoculumn-redo
49,C3-e003Coalescence-mBHI-p7,47292,A2-e003Coalescence-mBHI-inoculumn-redo
50,C3-e003Coalescence-mGAM-p5,5334,A2-e003Coalescence-mBHI-inoculumn-redo
