,species_id,AJ_powersoil_01312023_SW_66,PP_AC_inPowersoil_1007_SW_60,PP_AC_inPowersoil_1007_SW_68,AB_powersoil_01312023_SW_62,AA_powersoil_01312023_SW_61,AF_powersoil_01312023_SW_65,AE_powersoil_01312023_SW_64,PP_powersoil_DNA_SW_16,AD_powersoil_01312023_SW_63,AL_powersoil_01312023_SW_67,Lineage,species,genus,family,order,class,phylum
53,102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D,s__Escherichia coli_D,g__Escherichia,f__Enterobacteriaceae,o__Enterobacterales,c__Gammaproteobacteria,p__Proteobacteria
54,102478,0.013,0.028,0.029,0.041,0.016,0.04,0.027,0.026,0.017,0.006,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei,s__Bacteroides_B dorei,g__Bacteroides_B,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidota
55,102438,0.0,0.005,0.005,0.018,0.002,0.001,0.002,0.004,0.002,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,s__Parabacteroides distasonis,g__Parabacteroides,f__Tannerellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidota
56,101361,0.0,0.008,0.007,0.007,0.0,0.0,0.0,0.006,0.001,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_B,s__Sutterella wadsworthensis_B,g__Sutterella,f__Burkholderiaceae,o__Burkholderiales,c__Gammaproteobacteria,p__Proteobacteria
57,102279,0.014,0.001,0.001,0.0,0.007,0.004,0.0,0.001,0.012,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,s__Dorea longicatena_B,g__Dorea,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
58,101346,0.007,0.016,0.016,0.0,0.02,0.049,0.058,0.014,0.023,0.002,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,s__Bacteroides uniformis,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidota
59,100196,0.001,0.005,0.005,0.015,0.0,0.004,0.001,0.004,0.002,0.001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,s__Bacteroides thetaiotaomicron,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidota
60,101367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum,s__Clostridium_Q symbiosum,g__Clostridium_Q,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
61,102057,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835,s__Oscillibacter sp001916835,g__Oscillibacter,f__Oscillospiraceae,o__Oscillospirales,c__Clostridia,p__Firmicutes_A
62,100038,0.0,0.009,0.008,0.017,0.003,0.005,0.014,0.008,0.007,0.011,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena,s__Dorea longicatena,g__Dorea,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
63,102445,0.0,0.001,0.0,0.004,0.001,0.001,0.001,0.0,0.008,0.001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,s__Clostridium_Q sp003024715,g__Clostridium_Q,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
64,100099,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,s__Flavonifractor plautii,g__Flavonifractor,f__Oscillospiraceae,o__Oscillospirales,c__Clostridia,p__Firmicutes_A
65,102470,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis,s__Bacteroides intestinalis,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidota
66,100022,0.022,0.014,0.014,0.0,0.03,0.038,0.026,0.014,0.056,0.003,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,s__Faecalibacterium prausnitzii_C,g__Faecalibacterium,f__Ruminococcaceae,o__Oscillospirales,c__Clostridia,p__Firmicutes_A
67,101311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M sp000155435,s__Clostridium_M sp000155435,g__Clostridium_M,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
68,100150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi,s__Hungatella hathewayi,g__Hungatella,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
69,102544,0.0,0.001,0.001,0.005,0.0,0.0,0.0,0.001,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,s__Eggerthella lenta,g__Eggerthella,f__Eggerthellaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
70,100233,0.007,0.002,0.002,0.0,0.0,0.004,0.003,0.002,0.003,0.001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785,s__CAG-81 sp900066785,g__CAG-81,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
71,103695,0.011,0.005,0.004,0.02,0.002,0.0,0.0,0.005,0.013,0.003,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A;s__Ruminococcus_A sp003011855,s__Ruminococcus_A sp003011855,g__Ruminococcus_A,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
72,102515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia fergusonii,s__Escherichia fergusonii,g__Escherichia,f__Enterobacteriaceae,o__Enterobacterales,c__Gammaproteobacteria,p__Proteobacteria
73,100251,0.044,0.016,0.016,0.051,0.016,0.041,0.031,0.016,0.061,0.026,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,s__Fusicatenibacter saccharivorans,g__Fusicatenibacter,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
