,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage,mesocosm,single-subject,inoculumn,type_meso
82,B8-e003Coalescence-mGAM-p7,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,7,B8-AC/PP-AA-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
83,B9-e003Coalescence-mBHI-p3,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,3,B9-AC/PP-AC/PP-mGAM-mBHI,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mBHI
84,B9-e003Coalescence-mBHI-p5,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,5,B9-AC/PP-AC/PP-mGAM-mBHI,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mBHI
85,B9-e003Coalescence-mBHI-p7,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,7,B9-AC/PP-AC/PP-mGAM-mBHI,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mBHI
86,B9-e003Coalescence-mGAM-p3,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,3,B9-AC/PP-AC/PP-mGAM-mGAM,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mGAM
87,B9-e003Coalescence-mGAM-p5,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,5,B9-AC/PP-AC/PP-mGAM-mGAM,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mGAM
88,B9-e003Coalescence-mGAM-p7,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,7,B9-AC/PP-AC/PP-mGAM-mGAM,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mGAM
89,C10-e003Coalescence-mBHI-p5,e003,e003Coalescence,C10,AE-AE,False,mGAM,mBHI,5,C10-AE-AE-mGAM-mBHI,True,AE-AE-mGAM,AE-AE-mGAM-mBHI
90,C10-e003Coalescence-mBHI-p7,e003,e003Coalescence,C10,AE-AE,False,mGAM,mBHI,7,C10-AE-AE-mGAM-mBHI,True,AE-AE-mGAM,AE-AE-mGAM-mBHI
91,C10-e003Coalescence-mGAM-p5,e003,e003Coalescence,C10,AE-AE,False,mGAM,mGAM,5,C10-AE-AE-mGAM-mGAM,True,AE-AE-mGAM,AE-AE-mGAM-mGAM
92,C10-e003Coalescence-mGAM-p7,e003,e003Coalescence,C10,AE-AE,False,mGAM,mGAM,7,C10-AE-AE-mGAM-mGAM,True,AE-AE-mGAM,AE-AE-mGAM-mGAM
93,C11-e003Coalescence-mBHI-p5,e003,e003Coalescence,C11,AE-AF,False,mGAM,mBHI,5,C11-AE-AF-mGAM-mBHI,False,AE-AF-mGAM,AE-AF-mGAM-mBHI
94,C11-e003Coalescence-mGAM-p5,e003,e003Coalescence,C11,AE-AF,False,mGAM,mGAM,5,C11-AE-AF-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
95,C11-e003Coalescence-mGAM-p7,e003,e003Coalescence,C11,AE-AF,False,mGAM,mGAM,7,C11-AE-AF-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
96,C2-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C2,AE-AA,True,mGAM,mGAM,0,C2-AE-AA-mGAM-mGAM,False,AA-AE-mGAM,AA-AE-mGAM-mGAM
