,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,sample2,sample_name2
49,C9-e003Coalescence-mBHI-p3,False,C9-e003Coalescence-mBHI-p3,True,C9,False,3,mBHI,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AE-AC/PP-mGAM,C9-e003Coalescence-mBHI-p3,C9-e003Coalescence-mBHI-p3
50,D10-e003Coalescence-mGAM-p5,False,D10-e003Coalescence-mGAM-p5,True,D10,False,5,mGAM,mGAM,AE-AF,D10-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AF-AE-mGAM,D10-e003Coalescence-mGAM-p5,D10-e003Coalescence-mGAM-p5
51,C8-e003Coalescence-mBHI-p7,False,C8-e003Coalescence-mBHI-p7,True,C8,False,7,mBHI,mGAM,AA-AE,C8-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AE-AA-mGAM,C8-e003Coalescence-mBHI-p7,C8-e003Coalescence-mBHI-p7
52,C4-e003Coalescence-mBHI-p3,False,C4-e003Coalescence-mBHI-p3,True,C4,False,3,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-p3,C4-e003Coalescence-mBHI-p3
53,B4-e003Coalescence-mGAM-p5,False,B4-e003Coalescence-mGAM-p5,True,B4,False,5,mGAM,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI,B4-e003Coalescence-mGAM-p5,B4-e003Coalescence-mGAM-p5
54,D4-e003Coalescence-mGAM-p5,False,D4-e003Coalescence-mGAM-p5,True,D4,False,5,mGAM,mBHI,AE-AF,D4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AF-AE-mBHI,D4-e003Coalescence-mGAM-p5,D4-e003Coalescence-mGAM-p5
55,B5-e003Coalescence-mGAM-p5,False,B5-e003Coalescence-mGAM-p5,True,B5,False,5,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-mGAM-p5,B5-e003Coalescence-mGAM-p5
56,C2-e003Coalescence-mGAM-p3,False,C2-e003Coalescence-mGAM-p3,True,C2,False,3,mGAM,mBHI,AA-AE,C2-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AE-AA-mBHI,C2-e003Coalescence-mGAM-p3,C2-e003Coalescence-mGAM-p3
57,B5-e003Coalescence-mGAM-p7,False,B5-e003Coalescence-mGAM-p7,True,B5,False,7,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-mGAM-p7,B5-e003Coalescence-mGAM-p7
58,D8-e003Coalescence-mBHI-p5,False,D8-e003Coalescence-mBHI-p5,True,D8,False,5,mBHI,mGAM,AA-AF,D8-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AF-AA-mGAM,D8-e003Coalescence-mBHI-p5,D8-e003Coalescence-mBHI-p5
