,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts
61,D11,D11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,D11-AF-AF-mGAM-mBHI,mGAM,AF-AF,3,D11-e003Coalescence-mBHI-p3,AF-AF-mGAM-mBHI,False,1
62,B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,3,B5-e003Coalescence-mBHI-p3,AC/PP-AF-mBHI-mBHI,False,1
63,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,5,C4-e003Coalescence-mGAM-p5,AE-AE-mBHI-mGAM,False,1
64,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,7,C5-e003Coalescence-mGAM-p7,AE-AF-mBHI-mGAM,False,1
65,A2,A2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A2-AA-AA-mBHI-mBHI,mBHI,AA-AA,7,A2-e003Coalescence-mBHI-p7,AA-AA-mBHI-mBHI,False,1
66,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,5,A10-e003Coalescence-mBHI-p5,AA-AE-mGAM-mBHI,False,1
67,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,D2-e003Coalescence-mBHI-p7,AA-AF-mBHI-mBHI,False,1
68,A4,A4-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A4-AA-AE-mBHI-mGAM,mBHI,AA-AE,5,A4-e003Coalescence-mGAM-p5,AA-AE-mBHI-mGAM,False,1
69,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,5,D5-e003Coalescence-mBHI-p5,AF-AF-mBHI-mBHI,False,1
70,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,7,D4-e003Coalescence-mGAM-p7,AE-AF-mBHI-mGAM,False,1
71,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,7,A8-e003Coalescence-mBHI-p7,AA-AA-mGAM-mBHI,False,1
72,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,3,C4-e003Coalescence-mGAM-p3,AE-AE-mBHI-mGAM,False,1
73,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,7,D5-e003Coalescence-mGAM-p7,AF-AF-mBHI-mGAM,False,1
74,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,5,C5-e003Coalescence-mBHI-p5,AE-AF-mBHI-mBHI,False,1
75,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,3,C5-e003Coalescence-mGAM-p3,AE-AF-mBHI-mGAM,False,1
76,A11,A11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,A11-AA-AF-mGAM-mBHI,mGAM,AA-AF,7,A11-e003Coalescence-mBHI-p7,AA-AF-mGAM-mBHI,False,1
77,A4,A4-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A4-AA-AE-mBHI-mGAM,mBHI,AA-AE,3,A4-e003Coalescence-mGAM-p3,AA-AE-mBHI-mGAM,False,1
78,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,5,C3-e003Coalescence-mGAM-p5,AC/PP-AE-mBHI-mGAM,False,1
79,A10,A10-mGAM,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mGAM,A10-AA-AE-mGAM-mGAM,mGAM,AA-AE,3,A10-e003Coalescence-mGAM-p3,AA-AE-mGAM-mGAM,False,1
80,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,3,A9-e003Coalescence-mBHI-p3,AA-AC/PP-mGAM-mBHI,False,1
81,D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,7,D3-e003Coalescence-mBHI-p7,AC/PP-AF-mBHI-mBHI,False,1
