sample_name	midas_outdir
E8-e003Coalescence-mBHI-p5_S5	workflow/out/midas2_output/
G2-e003Coalescence-mBHI-p3_S33	workflow/out/midas2_output/
F100-e003Coalescence-mBHI-p3_S119	workflow/out/midas2_output/
E9-e003Coalescence-mBHI-p5_S6	workflow/out/midas2_output/
G3-e003Coalescence-mGAM-p7_S170	workflow/out/midas2_output/
H111-e003Coalescence-mBHI-p3_S144	workflow/out/midas2_output/
G111-e003Coalescence-mGAM-p5_S80	workflow/out/midas2_output/
G100-e003Coalescence-mGAM-p3_S179	workflow/out/midas2_output/
F111-e003Coalescence-mGAM-p5_S68	workflow/out/midas2_output/
G111-e003Coalescence-mBHI-p5_S32	workflow/out/midas2_output/
G5-e003Coalescence-mBHI-p3_S36	workflow/out/midas2_output/
H2-e003Coalescence-mGAM-p7_S181	workflow/out/midas2_output/
H9-e003Coalescence-mGAM-p3_S190	workflow/out/midas2_output/
F2-e003Coalescence-mBHI-p7_S109	workflow/out/midas2_output/
E3-e003Coalescence-mBHI-p3_S10	workflow/out/midas2_output/
H2-e003Coalescence-mGAM-p5_S85	workflow/out/midas2_output/
G8-e003Coalescence-mGAM-p3_S177	workflow/out/midas2_output/
H111-e003Coalescence-mBHI-p7_S140	workflow/out/midas2_output/
F2-e003Coalescence-mGAM-p7_S157	workflow/out/midas2_output/
H3-e003Coalescence-mGAM-p3_S94	workflow/out/midas2_output/
H8-e003Coalescence-mGAM-p3_S189	workflow/out/midas2_output/
H4-e003Coalescence-mGAM-p3_S95	workflow/out/midas2_output/
E5-e003Coalescence-mBHI-p7_S100	workflow/out/midas2_output/
G111-e003Coalescence-mBHI-p3_S132	workflow/out/midas2_output/
F3-e003Coalescence-mGAM-p3_S70	workflow/out/midas2_output/
E100-e003Coalescence-mBHI-p7_S103	workflow/out/midas2_output/
F9-e003Coalescence-mGAM-p5_S66	workflow/out/midas2_output/
G111-e003Coalescence-mGAM-p7_S176	workflow/out/midas2_output/
H100-e003Coalescence-mGAM-p7_S187	workflow/out/midas2_output/
E100-e003Coalescence-mGAM-p3_S155	workflow/out/midas2_output/
E3-e003Coalescence-mGAM-p5_S50	workflow/out/midas2_output/
F5-e003Coalescence-mGAM-p3_S72	workflow/out/midas2_output/
E9-e003Coalescence-mBHI-p7_S102	workflow/out/midas2_output/
E5-e003Coalescence-mBHI-p5_S4	workflow/out/midas2_output/
F111-e003Coalescence-mGAM-p7_S164	workflow/out/midas2_output/
E111-e003Coalescence-mBHI-p5_S8	workflow/out/midas2_output/
H100-e003Coalescence-mBHI-p5_S43	workflow/out/midas2_output/
G2-e003Coalescence-mGAM-p7_S169	workflow/out/midas2_output/
F2-e003Coalescence-mGAM-p5_S61	workflow/out/midas2_output/
