,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage,replicate
41,41,C8,C8-mGAM,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mGAM,C8-AA-AE-mGAM-mGAM,mGAM,AA-AE,2,A_G5_C8_AA_AE_mGAM_mGAM_2_S77,AA-AE-mGAM-mGAM,False,1,C8-AA-AE-mGAM-mGAM2,0.0
42,42,C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,2,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,AE-AF-mGAM-mGAM,False,1,C11-AE-AF-mGAM-mGAM2,0.0
43,43,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,4,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM4,1.0
44,44,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,4,A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM4,0.0
45,45,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,4,A_G11_C4_AE_AE_mBHI_mGAM_4_S83,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM4,0.0
46,46,D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,2,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,AA-AF-mBHI-mGAM,False,1,D2-AA-AF-mBHI-mGAM2,1.0
47,47,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,2,A_H2_D3_ACPP_AF_mBHI_mGAM_2_S86,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM2,0.0
48,48,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,2,A_H3_D4_AE_AF_mBHI_mGAM_2_S87,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM2,1.0
49,49,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,2,A_H4_D5_AF_AF_mBHI_mGAM_2_S88,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM2,0.0
50,50,D8,D8-mGAM,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mGAM,D8-AA-AF-mGAM-mGAM,mGAM,AA-AF,2,A_H5_D8_AA_AF_mGAM_mGAM_2_S89,AA-AF-mGAM-mGAM,False,1,D8-AA-AF-mGAM-mGAM2,1.0
51,51,D11,D11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,D11-AF-AF-mGAM-mGAM,mGAM,AF-AF,2,A_H8_D11_AF_AF_mGAM_mGAM_2_S92,AF-AF-mGAM-mGAM,False,1,D11-AF-AF-mGAM-mGAM2,0.0
52,52,D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,4,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,AA-AF-mBHI-mGAM,False,1,D2-AA-AF-mBHI-mGAM4,1.0
53,53,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,4,A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM4,0.0
54,54,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,4,A_H11_D4_AE_AF_mBHI_mGAM_4_S95,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM4,1.0
55,55,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,4,A_H12_D5_AF_AF_mBHI_mGAM_4_S96,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM4,0.0
56,56,E2,E2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E2-AA-AA-mBHI-mBHI,mBHI,AA-AA,2,B_A1_E2_AA_AA_mBHI_mBHI_2_S97,AA-AA-mBHI-mBHI,False,1,E2-AA-AA-mBHI-mBHI2,1.0
57,57,E3,E3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,2,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,AA-AC/PP-mBHI-mBHI,False,1,E3-AA-AC/PP-mBHI-mBHI2,1.0
58,58,E5,E5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,E5-AA-AF-mBHI-mBHI,mBHI,AA-AF,2,B_A4_E5_AF_AA_mBHI_mBHI_2_S100,AA-AF-mBHI-mBHI,False,1,E5-AA-AF-mBHI-mBHI2,2.0
59,59,E8,E8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,E8-AA-AA-mGAM-mBHI,mGAM,AA-AA,2,B_A5_E8_AA_AA_mGAM_mBHI_2_S101,AA-AA-mGAM-mBHI,False,1,E8-AA-AA-mGAM-mBHI2,1.0
60,60,E9,E9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,E9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,2,B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,AA-AC/PP-mGAM-mBHI,False,1,E9-AA-AC/PP-mGAM-mBHI2,0.0
61,61,E10,E10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,E10-AA-AE-mGAM-mBHI,mGAM,AA-AE,2,B_A7_E10_AE_AA_mGAM_mBHI_2_S103,AA-AE-mGAM-mBHI,False,1,E10-AA-AE-mGAM-mBHI2,1.0
62,62,E11,E11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,E11-AA-AF-mGAM-mBHI,mGAM,AA-AF,2,B_A8_E11_AF_AA_mGAM_mBHI_2_S104,AA-AF-mGAM-mBHI,False,1,E11-AA-AF-mGAM-mBHI2,2.0
