,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
F8-e003Coalescence-mGAM-p3_S165,971,1290
G3-e003Coalescence-mBHI-p5_S26,1966,2306
G5-e003Coalescence-mBHI-p5_S28,1921,2287
H111-e003Coalescence-mGAM-p5_S92,1735,2117
G4-e003Coalescence-mBHI-p3_S35,1972,2316
H9-e003Coalescence-mGAM-p5_S90,1873,2205
H2-e003Coalescence-mBHI-p3_S45,1852,2212
E8-e003Coalescence-mBHI-p7_S101,1953,2329
E4-e003Coalescence-mBHI-p5_S3,1958,2283
H2-e003Coalescence-mGAM-p3_S93,1854,2215
E4-e003Coalescence-mGAM-p5_S51,1975,2320
G9-e003Coalescence-mGAM-p7_S174,1919,2304
F2-e003Coalescence-mBHI-p3_S21,1051,1238
E8-e003Coalescence-mGAM-p3_S153,1975,2325
G111-e003Coalescence-mGAM-p3_S180,1864,2228
G5-e003Coalescence-mGAM-p3_S84,1790,2173
H8-e003Coalescence-mBHI-p5_S41,1934,2327
E100-e003Coalescence-mBHI-p5_S7,1889,2252
G100-e003Coalescence-mGAM-p7_S175,1938,2283
F9-e003Coalescence-mGAM-p7_S162,1890,2245
F8-e003Coalescence-mGAM-p7_S161,1907,2290
F3-e003Coalescence-mBHI-p3_S22,1921,2278
G3-e003Coalescence-mBHI-p7_S122,1951,2303
G5-e003Coalescence-mGAM-p5_S76,1773,2152
G5-e003Coalescence-mGAM-p7_S172,1761,2142
G4-e003Coalescence-mGAM-p5_S75,1975,2329
G8-e003Coalescence-mBHI-p3_S129,1935,2315
E5-e003Coalescence-mGAM-p3_S60,1850,2192
G2-e003Coalescence-mGAM-p5_S73,1974,2330
E5-e003Coalescence-mGAM-p7_S148,1885,2223
H9-e003Coalescence-mGAM-p7_S186,1876,2218
E100-e003Coalescence-mGAM-p5_S55,1890,2299
E8-e003Coalescence-mGAM-p5_S53,1860,2301
H5-e003Coalescence-mGAM-p3_S96,1855,2211
G4-e003Coalescence-mGAM-p3_S83,1974,2322
F4-e003Coalescence-mBHI-p7_S111,1947,2288
H3-e003Coalescence-mGAM-p7_S182,1907,2275
H5-e003Coalescence-mGAM-p5_S88,1877,2226
F4-e003Coalescence-mGAM-p5_S63,1955,2301
G4-e003Coalescence-mGAM-p7_S171,1964,2295
H8-e003Coalescence-mGAM-p5_S89,1821,2206
F3-e003Coalescence-mBHI-p5_S14,1911,2279
F100-e003Coalescence-mBHI-p7_S115,1967,2323
E3-e003Coalescence-mGAM-p7_S146,1909,2271
F100-e003Coalescence-mGAM-p3_S167,1890,2230
G100-e003Coalescence-mBHI-p3_S131,1830,2301
G4-e003Coalescence-mBHI-p7_S123,1975,2326
E9-e003Coalescence-mGAM-p3_S154,1945,2324
F3-e003Coalescence-mGAM-p5_S62,1907,2272
H4-e003Coalescence-mBHI-p7_S135,1927,2284
G111-e003Coalescence-mBHI-p7_S128,1819,2124
H3-e003Coalescence-mBHI-p5_S38,1962,2327
G3-e003Coalescence-mGAM-p3_S82,1975,2335
F111-e003Coalescence-mGAM-p3_S168,1858,2186
F3-e003Coalescence-mGAM-p7_S158,1878,2250
F8-e003Coalescence-mBHI-p7_S113,1886,2270
H4-e003Coalescence-mBHI-p3_S47,1971,2322
F3-e003Coalescence-mBHI-p7_S110,1832,2150
F100-e003Coalescence-mGAM-p5_S67,1895,2218
G8-e003Coalescence-mBHI-p7_S125,1828,2207
F4-e003Coalescence-mBHI-p5_S15,1959,2318
H111-e003Coalescence-mBHI-p5_S44,1754,2131
E111-e003Coalescence-mBHI-p7_S104,1950,2326
E2-e003Coalescence-mGAM-p3_S57,1875,2312
F2-e003Coalescence-mBHI-p5_S13,751,857
F4-e003Coalescence-mBHI-p3_S23,1969,2323
F2-e003Coalescence-mGAM-p3_S69,1886,2253
E9-e003Coalescence-mGAM-p5_S54,1946,2326
G3-e003Coalescence-mGAM-p5_S74,1972,2324
E111-e003Coalescence-mGAM-p5_S56,1767,2164
G100-e003Coalescence-mGAM-p5_S79,1953,2291
