,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
G3-e003Coalescence-mBHI-p5_S26,0.1792573623559539,0.7188173801916933
G5-e003Coalescence-mBHI-p5_S28,0.3948642765685019,0.3757767412140575
H111-e003Coalescence-mGAM-p5_S92,0.35839265898420825,0.3632605750798722
G4-e003Coalescence-mBHI-p3_S35,0.46832949210413993,0.3075326517571885
H9-e003Coalescence-mGAM-p5_S90,0.3713871105420401,0.38632779552715657
H2-e003Coalescence-mBHI-p3_S45,0.4628416559965856,0.32517290734824283
E8-e003Coalescence-mBHI-p7_S101,0.7415744771660264,0.3107419808306709
E4-e003Coalescence-mBHI-p5_S3,0.48785531370038415,0.295417124600639
H2-e003Coalescence-mGAM-p3_S93,0.37530004268032435,0.37021099041533545
E4-e003Coalescence-mGAM-p5_S51,0.4760785317968417,0.3051143769968051
G9-e003Coalescence-mGAM-p7_S174,0.3993218096457533,0.4129193610223642
F2-e003Coalescence-mBHI-p3_S21,0.052368331199317115,0.449560766773163
E8-e003Coalescence-mGAM-p3_S153,0.4806192915066154,0.3094425559105431
G111-e003Coalescence-mGAM-p3_S180,0.3878698250106701,0.379377124600639
G5-e003Coalescence-mGAM-p3_S84,0.371809218950064,0.3725685623003195
H8-e003Coalescence-mBHI-p5_S41,0.7681707212974819,0.25259693290734825
E100-e003Coalescence-mBHI-p5_S7,0.7043418693982074,0.2387331629392971
G100-e003Coalescence-mGAM-p7_S175,0.46267690994451555,0.3017375079872204
F9-e003Coalescence-mGAM-p7_S162,6.743491250533504e-05,0.9851047923322683
F8-e003Coalescence-mGAM-p7_S161,0.08362313273580878,0.9049528434504793
F3-e003Coalescence-mBHI-p3_S22,0.0006346564233888181,0.9950640255591054
G3-e003Coalescence-mBHI-p7_S122,0.11939095177123346,0.8003185942492014
G5-e003Coalescence-mGAM-p5_S76,0.36504097311139566,0.36831015974440895
G5-e003Coalescence-mGAM-p7_S172,0.3638779342723005,0.3635837699680511
