,0
D_D12_H11_AF_AF_mGAM_mBHI_4_S336,55.0
D_E1_A2_AA_AA_mBHI_mGAM_6_S337,180.0
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,119.0
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,233.0
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,44.0
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,89.0
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,105.0
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,128.0
D_E9_E8_AA_AA_mGAM_mGAM_4_S345,158.0
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,119.0
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,124.0
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,319.0
D_G3_C4_AE_AE_mBHI_mGAM_6_S363,133.0
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,19.0
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,45.0
D_G6_C9_ACPP_AE_mGAM_mGAM_6_S366,184.0
D_G7_C10_AE_AE_mGAM_mGAM_6_S367,80.0
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,139.0
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,63.0
D_G11_G10_AE_AE_mGAM_mGAM_4_S371,71.0
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,138.0
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,51.0
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,78.0
D_H4_D5_AF_AF_mBHI_mGAM_6_S376,267.0
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,271.0
D_H7_D10_AE_AF_mGAM_mGAM_6_S379,4.0
D_H8_D11_AF_AF_mGAM_mGAM_6_S380,35.0
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,20.0
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,36.0
C9-e003Coalescence-mGAM-p3,55.0
C11-e003Coalescence-mBHI-p3,75.0
D11-e003Coalescence-mBHI-p5,212.0
C9-e003Coalescence-mGAM-p7,44.0
C8-e003Coalescence-mGAM-p7,74.0
D10-e003Coalescence-mBHI-p3,131.0
B2-e003Coalescence-mBHI-p3,197.0
A8-e003Coalescence-mBHI-p3,293.0
A4-e003Coalescence-mBHI-p7,102.0
B4-e003Coalescence-mBHI-p5,8.0
B9-e003Coalescence-mGAM-p5,118.0
D4-e003Coalescence-mBHI-p5,60.0
C2-e003Coalescence-mBHI-p5,163.0
D4-e003Coalescence-mBHI-p3,63.0
B2-e003Coalescence-mBHI-p5,109.0
C4-e003Coalescence-mGAM-p7,58.0
C3-e003Coalescence-mGAM-p3,83.0
C3-e003Coalescence-mBHI-p7,159.0
D11-e003Coalescence-mGAM-p5,57.0
A11-e003Coalescence-mGAM-p7,26.0
B8-e003Coalescence-mBHI-p5,201.0
C2-e003Coalescence-mGAM-p7,377.0
D3-e003Coalescence-mBHI-p5,65.0
B11-e003Coalescence-mGAM-p3,182.0
D2-e003Coalescence-mBHI-p5,106.0
D5-e003Coalescence-mGAM-p5,43.0
B5-e003Coalescence-mBHI-p5,70.0
C9-e003Coalescence-mBHI-p5,141.0
A10-e003Coalescence-mBHI-p3,36.0
A5-e003Coalescence-mGAM-p3,38.0
D8-e003Coalescence-mGAM-p5,53.0
C2-e003Coalescence-mBHI-p3,559.0
D9-e003Coalescence-mGAM-p7,84.0
D4-e003Coalescence-mBHI-p7,64.0
B10-e003Coalescence-mGAM-p3,42.0
A9-e003Coalescence-mGAM-p7,25.0
D10-e003Coalescence-mBHI-p5,93.0
D5-e003Coalescence-mBHI-p3,106.0
C5-e003Coalescence-mBHI-p3,37.0
D9-e003Coalescence-mGAM-p5,87.0
C9-e003Coalescence-mBHI-p3,165.0
D10-e003Coalescence-mGAM-p5,58.0
C8-e003Coalescence-mBHI-p7,175.0
B4-e003Coalescence-mGAM-p5,25.0
D4-e003Coalescence-mGAM-p5,91.0
B5-e003Coalescence-mGAM-p5,20.0
C2-e003Coalescence-mGAM-p3,37.0
B5-e003Coalescence-mGAM-p7,11.0
D8-e003Coalescence-mBHI-p5,164.0
