,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
E8-e003Coalescence-mBHI-p3_S105,24444,1403
E8-e003Coalescence-mGAM-p7_S149,25212,1429
F4-e003Coalescence-mGAM-p7_S159,25094,1411
H3-e003Coalescence-mGAM-p5_S86,24719,1388
E4-e003Coalescence-mBHI-p7_S99,24002,1365
H4-e003Coalescence-mGAM-p5_S87,24729,1408
E100-e003Coalescence-mGAM-p7_S151,23510,1346
G9-e003Coalescence-mGAM-p3_S178,25319,1426
H8-e003Coalescence-mGAM-p7_S185,25326,1430
G2-e003Coalescence-mGAM-p3_S81,24053,1395
E5-e003Coalescence-mGAM-p5_S52,24885,1416
