,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
G3-e003Coalescence-mBHI-p7_S122,16064,4735
G5-e003Coalescence-mGAM-p5_S76,16391,5028
G5-e003Coalescence-mGAM-p7_S172,16351,5004
G4-e003Coalescence-mGAM-p5_S75,16009,4493
G8-e003Coalescence-mBHI-p3_S129,16190,4945
E5-e003Coalescence-mGAM-p3_S60,16120,4997
G2-e003Coalescence-mGAM-p5_S73,16249,4872
E5-e003Coalescence-mGAM-p7_S148,16323,5038
H9-e003Coalescence-mGAM-p7_S186,16156,5031
E100-e003Coalescence-mGAM-p5_S55,16374,5014
E8-e003Coalescence-mGAM-p5_S53,16080,4946
H5-e003Coalescence-mGAM-p3_S96,16087,5000
G4-e003Coalescence-mGAM-p3_S83,16352,4910
F4-e003Coalescence-mBHI-p7_S111,15644,4645
H3-e003Coalescence-mGAM-p7_S182,16221,5001
H5-e003Coalescence-mGAM-p5_S88,16139,4988
F4-e003Coalescence-mGAM-p5_S63,16283,4899
G4-e003Coalescence-mGAM-p7_S171,15968,4462
H8-e003Coalescence-mGAM-p5_S89,16142,5033
F3-e003Coalescence-mBHI-p5_S14,15008,4035
F100-e003Coalescence-mBHI-p7_S115,16382,5037
E3-e003Coalescence-mGAM-p7_S146,15273,4226
F100-e003Coalescence-mGAM-p3_S167,15207,4257
G100-e003Coalescence-mBHI-p3_S131,15840,4924
G4-e003Coalescence-mBHI-p7_S123,16296,4913
E9-e003Coalescence-mGAM-p3_S154,16272,5025
F3-e003Coalescence-mGAM-p5_S62,15114,4215
H4-e003Coalescence-mBHI-p7_S135,16412,5038
E3-e003Coalescence-mBHI-p5_S2,7352,2416
G111-e003Coalescence-mBHI-p7_S128,16287,5032
H3-e003Coalescence-mBHI-p5_S38,16257,4992
G3-e003Coalescence-mGAM-p3_S82,16312,4888
F111-e003Coalescence-mGAM-p3_S168,16134,5015
F3-e003Coalescence-mGAM-p7_S158,14007,3875
F8-e003Coalescence-mBHI-p7_S113,15663,5024
G2-e003Coalescence-mBHI-p7_S121,4979,1258
H4-e003Coalescence-mBHI-p3_S47,16372,5017
F3-e003Coalescence-mBHI-p7_S110,5889,1546
F100-e003Coalescence-mGAM-p5_S67,15624,4572
G8-e003Coalescence-mBHI-p7_S125,16175,4963
F4-e003Coalescence-mBHI-p5_S15,16281,4894
H111-e003Coalescence-mBHI-p5_S44,16171,5034
E111-e003Coalescence-mBHI-p7_S104,16243,5014
E2-e003Coalescence-mGAM-p3_S57,15869,4918
F2-e003Coalescence-mBHI-p5_S13,15434,4812
F4-e003Coalescence-mBHI-p3_S23,10357,3009
F2-e003Coalescence-mGAM-p3_S69,15739,4359
E9-e003Coalescence-mGAM-p5_S54,16251,5038
G3-e003Coalescence-mGAM-p5_S74,16396,4901
E111-e003Coalescence-mGAM-p5_S56,16093,5028
G100-e003Coalescence-mGAM-p5_S79,16357,4915
H100-e003Coalescence-mGAM-p5_S91,16322,4886
G9-e003Coalescence-mBHI-p3_S130,16305,4955
E4-e003Coalescence-mGAM-p7_S147,16328,4932
E4-e003Coalescence-mGAM-p3_S59,16330,4924
H4-e003Coalescence-mBHI-p5_S39,16379,5041
F4-e003Coalescence-mGAM-p3_S71,16401,4964
H100-e003Coalescence-mBHI-p7_S139,16355,5040
G8-e003Coalescence-mBHI-p5_S29,16256,4968
G2-e003Coalescence-mBHI-p5_S25,14968,4067
G8-e003Coalescence-mGAM-p7_S173,16374,5014
E2-e003Coalescence-mGAM-p5_S49,15951,4939
H9-e003Coalescence-mBHI-p5_S42,15897,5028
H111-e003Coalescence-mGAM-p3_S192,16037,5026
F5-e003Coalescence-mBHI-p3_S24,16333,5027
E8-e003Coalescence-mBHI-p3_S105,15808,4912
E8-e003Coalescence-mGAM-p7_S149,16104,4951
E9-e003Coalescence-mGAM-p7_S150,10597,3712
H5-e003Coalescence-mBHI-p7_S136,15773,5010
G9-e003Coalescence-mBHI-p5_S30,16359,5012
F111-e003Coalescence-mBHI-p7_S116,15973,5018
F5-e003Coalescence-mBHI-p7_S112,15865,5032
F4-e003Coalescence-mGAM-p7_S159,16275,4905
F111-e003Coalescence-mBHI-p3_S120,15379,4904
H3-e003Coalescence-mGAM-p5_S86,16070,4961
E4-e003Coalescence-mBHI-p7_S99,15790,4395
H4-e003Coalescence-mGAM-p5_S87,16358,4983
E100-e003Coalescence-mGAM-p7_S151,16349,4985
G9-e003Coalescence-mGAM-p3_S178,16415,5036
H9-e003Coalescence-mBHI-p7_S138,15491,4931
H8-e003Coalescence-mGAM-p7_S185,16231,5038
G2-e003Coalescence-mGAM-p3_S81,16393,4937
F111-e003Coalescence-mBHI-p5_S20,15363,4955
F8-e003Coalescence-mBHI-p5_S17,16005,5031
G100-e003Coalescence-mBHI-p7_S127,16363,4958
E5-e003Coalescence-mGAM-p5_S52,16200,5024
