,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
G100-e003Coalescence-mBHI-p5_S31,0.278,0.581
F9-e003Coalescence-mBHI-p3_S118,0.07829265373241591,0.0662932112444243
E111-e003Coalescence-mBHI-p3_S108,0.013746486448067424,0.012647458503089487
F8-e003Coalescence-mGAM-p3_S165,0.04777251783524483,0.04326346444193955
G3-e003Coalescence-mBHI-p5_S26,0.083,0.9
G5-e003Coalescence-mBHI-p5_S28,0.036,0.347
H111-e003Coalescence-mGAM-p5_S92,0.005594531589276727,0.005200718345512304
G4-e003Coalescence-mBHI-p3_S35,0.057,0.932
H9-e003Coalescence-mGAM-p5_S90,0.0073524704228740256,0.00587081146637955
H2-e003Coalescence-mBHI-p3_S45,0.015428005135055727,0.013509374058218141
E8-e003Coalescence-mBHI-p7_S101,0.009,0.011
E4-e003Coalescence-mBHI-p5_S3,0.9967165609796237,0.003919221971367314
H2-e003Coalescence-mGAM-p3_S93,0.009138837046034767,0.008677015451066458
E4-e003Coalescence-mGAM-p5_S51,8.134808218152434e-05,0.9997023939462121
G9-e003Coalescence-mGAM-p7_S174,0.414,0.49
E8-e003Coalescence-mGAM-p3_S153,0.32499999999999996,0.535
G111-e003Coalescence-mGAM-p3_S180,0.044,0.311
G5-e003Coalescence-mGAM-p3_S84,0.004230019992138939,0.849
H8-e003Coalescence-mBHI-p5_S41,0.006885179075332699,0.006168344103777251
E100-e003Coalescence-mBHI-p5_S7,0.008101891473544941,0.17
G100-e003Coalescence-mGAM-p7_S175,0.00222279600803215,0.996034512303149
F9-e003Coalescence-mGAM-p7_S162,0.0017521250735804063,0.0014540823589560133
F8-e003Coalescence-mGAM-p7_S161,0.003609285644488275,0.0035253404300610506
F3-e003Coalescence-mBHI-p3_S22,0.9944532029485349,0.007243820827314907
G3-e003Coalescence-mBHI-p7_S122,0.346,0.625
G5-e003Coalescence-mGAM-p5_S76,0.0022930194395031937,0.58
G5-e003Coalescence-mGAM-p7_S172,0.001967843003316184,0.813
G4-e003Coalescence-mGAM-p5_S75,0.797,0.179
G8-e003Coalescence-mBHI-p3_S129,0.031,0.107
E5-e003Coalescence-mGAM-p3_S60,0.015681768335669383,0.014189353605509816
G2-e003Coalescence-mGAM-p5_S73,5.811406381705855e-05,0.999741142415743
E5-e003Coalescence-mGAM-p7_S148,0.003513867235582126,0.003376556485806369
H9-e003Coalescence-mGAM-p7_S186,0.14,0.008349734289135229
E100-e003Coalescence-mGAM-p5_S55,0.0020258824751598872,0.496
E8-e003Coalescence-mGAM-p5_S53,0.0011258596279989767,0.0011908251223554202
H5-e003Coalescence-mGAM-p3_S96,0.010175239803853391,0.008807924771333278
G4-e003Coalescence-mGAM-p3_S83,0.186,0.781
F4-e003Coalescence-mBHI-p7_S111,0.176,0.769
H3-e003Coalescence-mGAM-p7_S182,0.101,0.009527916290428073
H5-e003Coalescence-mGAM-p5_S88,0.002547209753374735,0.002271729688926308
F4-e003Coalescence-mGAM-p5_S63,0.007704626987079575,0.971
G4-e003Coalescence-mGAM-p7_S171,0.7895000000000001,0.181
H8-e003Coalescence-mGAM-p5_S89,0.007223832631353461,0.00649884837663479
F3-e003Coalescence-mBHI-p5_S14,0.9900342119811628,0.011757526600681373
F100-e003Coalescence-mBHI-p7_S115,0.1,0.427
E3-e003Coalescence-mGAM-p7_S146,0.9908476232105499,0.010267898469001826
F100-e003Coalescence-mGAM-p3_S167,0.85,0.099
G100-e003Coalescence-mBHI-p3_S131,0.001548547717533928,0.0016078383963185202
G4-e003Coalescence-mBHI-p7_S123,0.0017792275780024746,0.9978356764319695
E9-e003Coalescence-mGAM-p3_S154,0.0017696757718926482,0.0016713722399020205
F3-e003Coalescence-mGAM-p5_S62,0.984957218505352,0.015160877807237346
H4-e003Coalescence-mBHI-p7_S135,0.049,0.431
E3-e003Coalescence-mBHI-p5_S2,0.15011016589966145,0.14646268886653027
G111-e003Coalescence-mBHI-p7_S128,0.122,0.085
H3-e003Coalescence-mBHI-p5_S38,0.469,0.006337994556566958
G3-e003Coalescence-mGAM-p3_S82,0.122,0.853
F111-e003Coalescence-mGAM-p3_S168,0.37,0.006004494700833236
F3-e003Coalescence-mGAM-p7_S158,0.9473474178003711,0.03615767262123625
F8-e003Coalescence-mBHI-p7_S113,0.006122621011031264,0.004280507859880694
G2-e003Coalescence-mBHI-p7_S121,0.7786248347550041,0.19861345616385162
H4-e003Coalescence-mBHI-p3_S47,0.029,0.762
F3-e003Coalescence-mBHI-p7_S110,0.8143217019921791,0.1705879604171069
F100-e003Coalescence-mGAM-p5_S67,0.707,0.16300000000000003
G8-e003Coalescence-mBHI-p7_S125,0.0050088560830307645,0.172
F4-e003Coalescence-mBHI-p5_S15,0.103,0.875
H111-e003Coalescence-mBHI-p5_S44,0.005074502823503969,0.00438447710477726
E111-e003Coalescence-mBHI-p7_S104,0.0027488076129862545,0.013
E2-e003Coalescence-mGAM-p3_S57,0.009729697538190574,0.010021895749014359
F2-e003Coalescence-mBHI-p5_S13,0.030590498644855257,0.029964060183260463
F4-e003Coalescence-mBHI-p3_S23,0.09099789700139081,0.8890637545766845
