,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
F100-e003Coalescence-mGAM-p7_S163,0.1984126984126984,0.0
F9-e003Coalescence-mBHI-p5_S18,0.0,0.5
H3-e003Coalescence-mBHI-p7_S134,0.0,0.5
E3-e003Coalescence-mGAM-p3_S58,0.5873015873015873,0.5
G4-e003Coalescence-mBHI-p5_S27,0.5846560846560847,0.0
E8-e003Coalescence-mBHI-p5_S5,0.6534391534391535,0.5
G2-e003Coalescence-mBHI-p3_S33,0.3783068783068783,0.0
E9-e003Coalescence-mBHI-p5_S6,0.0,0.0
H111-e003Coalescence-mBHI-p3_S144,0.0,0.0
G111-e003Coalescence-mGAM-p5_S80,0.0,0.0
G100-e003Coalescence-mGAM-p3_S179,0.4708994708994709,0.0
F111-e003Coalescence-mGAM-p5_S68,0.0,0.5
G111-e003Coalescence-mBHI-p5_S32,0.0,0.0
G5-e003Coalescence-mBHI-p3_S36,0.037037037037037035,0.5
H2-e003Coalescence-mGAM-p7_S181,0.0,0.0
H9-e003Coalescence-mGAM-p3_S190,0.0,0.5
E3-e003Coalescence-mBHI-p3_S10,0.19576719576719576,0.0
H2-e003Coalescence-mGAM-p5_S85,0.007936507936507936,0.0
G8-e003Coalescence-mGAM-p3_S177,0.4444444444444444,0.0
F2-e003Coalescence-mGAM-p7_S157,0.5687830687830688,0.5
H3-e003Coalescence-mGAM-p3_S94,0.2751322751322751,0.0
H4-e003Coalescence-mGAM-p3_S95,0.42328042328042326,0.5
E5-e003Coalescence-mBHI-p7_S100,0.023809523809523808,0.5
G111-e003Coalescence-mBHI-p3_S132,0.0026455026455026454,0.5
F3-e003Coalescence-mGAM-p3_S70,0.5343915343915344,0.5
E100-e003Coalescence-mBHI-p7_S103,0.3783068783068783,0.0
F9-e003Coalescence-mGAM-p5_S66,0.0,0.0
G111-e003Coalescence-mGAM-p7_S176,0.2857142857142857,0.5
H100-e003Coalescence-mGAM-p7_S187,0.0,0.0
E100-e003Coalescence-mGAM-p3_S155,0.4470899470899471,0.0
E3-e003Coalescence-mGAM-p5_S50,0.5529100529100529,0.5
F5-e003Coalescence-mGAM-p3_S72,0.6613756613756614,1.0
E9-e003Coalescence-mBHI-p7_S102,0.0,0.0
E5-e003Coalescence-mBHI-p5_S4,0.06084656084656084,0.5
F111-e003Coalescence-mGAM-p7_S164,0.013227513227513227,0.0
E111-e003Coalescence-mBHI-p5_S8,0.013227513227513227,0.5
H100-e003Coalescence-mBHI-p5_S43,0.0,0.0
F2-e003Coalescence-mGAM-p5_S61,0.5291005291005291,0.5
F5-e003Coalescence-mBHI-p5_S16,0.0,0.5
F8-e003Coalescence-mGAM-p5_S65,0.0,0.0
H8-e003Coalescence-mBHI-p7_S137,0.007936507936507936,0.0
G9-e003Coalescence-mGAM-p5_S78,0.16666666666666666,0.0
E2-e003Coalescence-mBHI-p5_S1,0.3148148148148148,0.5
E2-e003Coalescence-mBHI-p3_S9,0.5211640211640212,0.5
G8-e003Coalescence-mGAM-p5_S77,0.4444444444444444,0.0
G3-e003Coalescence-mBHI-p3_S34,0.6005291005291006,0.5
G100-e003Coalescence-mBHI-p5_S31,0.46825396825396826,0.0
F9-e003Coalescence-mBHI-p3_S118,0.0026455026455026454,0.0
E111-e003Coalescence-mBHI-p3_S108,0.07407407407407407,0.0
F8-e003Coalescence-mGAM-p3_S165,0.05026455026455026,0.5
G3-e003Coalescence-mBHI-p5_S26,0.5608465608465608,0.5
G5-e003Coalescence-mBHI-p5_S28,0.0,0.0
H111-e003Coalescence-mGAM-p5_S92,0.0,0.0
G4-e003Coalescence-mBHI-p3_S35,0.4894179894179894,0.5
H9-e003Coalescence-mGAM-p5_S90,0.0,0.5
H2-e003Coalescence-mBHI-p3_S45,0.005291005291005291,0.0
E8-e003Coalescence-mBHI-p7_S101,0.0,0.0
E4-e003Coalescence-mBHI-p5_S3,0.6243386243386243,0.5
H2-e003Coalescence-mGAM-p3_S93,0.005291005291005291,0.0
E4-e003Coalescence-mGAM-p5_S51,0.6349206349206349,0.0
G9-e003Coalescence-mGAM-p7_S174,0.3333333333333333,0.0
E8-e003Coalescence-mGAM-p3_S153,0.43915343915343913,0.0
G111-e003Coalescence-mGAM-p3_S180,0.0,0.0
