genome_id,genome_name,rep_genome,length,contigs,species_id
1208663.3,Cronobacter sakazakii 701,1,4675703,81,Cronobacter_sakazakii_57088
1229486.3,gamma proteobacterium L18,1,6658122,282,Gamma_proteobacterium_59629
1229485.3,gamma proteobacterium WG36,1,5127227,248,Gamma_proteobacterium_59628
1229276.3,Sphingobacterium sp. ACCC 05744,1,4595883,75,Sphingobacterium_sp_59627
1229204.3,alpha proteobacterium L41A,1,3104873,66,Alpha_proteobacterium_59626
1229203.3,actinobacterium LLX17,1,2995027,19,Actinobacterium_LLX17_59625
1229172.3,Leptolyngbya sp. KIOST-1,1,6320123,13,Leptolyngbya_sp_59624
1228987.3,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko ETSB Lake Yunoko,1,2794318,1,Cyanobacterium_endosymbiont_59623
1227739.3,Hymenobacter sp. DY53,1,5252070,0,Hymenobacter_sp_59622
1227360.4,Viridibacillus arenosi FSL R5-213,1,4432378,31,Viridibacillus_arenosi_59621
1227352.4,Paenibacillus sp. FSL R7-277,1,7580470,75,Paenibacillus_sp_59620
1214177.3,Streptococcus suis 92-1400,1,2292402,69,Streptococcus_suis_57885
1193055.3,Leptospira noguchii str. Hook,1,4534551,295,Leptospira_noguchii_57887
1094562.3,Bartonella vinsonii subsp. arupensis OK-94-513,1,1738241,43,Bartonella_vinsonii_53507
1229756.3,Leuconostoc gelidum JB7,1,1893499,0,Leuconostoc_gelidum_53501
1276647.3,Streptococcus suis TL13,1,2038146,0,Streptococcus_suis_57883
1345559.3,Helicobacter pylori SA158C,1,1608178,44,Helicobacter_pylori_58282
1392501.3,Selenomonas ruminantium AC2024,1,2831710,1,Selenomonas_ruminantium_58283
1051985.3,Neisseria weaveri LMG 5135,1,2182338,45,Neisseria_weaveri_56837
335284.6,Psychrobacter cryohalolentis K5,1,3101097,0,Psychrobacter_cryohalolentis_58280
887899.3,Mobiluncus curtisii subsp. holmesii ATCC 35242,1,2092796,3,Mobiluncus_curtisii_58281
1120974.3,Alistipes onderdonkii DSM 19147,1,3861988,31,Alistipes_onderdonkii_55464
263438.4,Wolbachia endosymbiont of Culex pipiens molestus,1,1286802,238,Wolbachia_endosymbiont_58286
716541.4,Enterobacter cloacae subsp. cloacae ATCC 13047,1,5598796,0,Enterobacter_cloacae_58287
1287065.3,Helicobacter pylori UM045,1,1583040,48,Helicobacter_pylori_59959
1287062.3,Helicobacter pylori UM054,1,1580429,60,Helicobacter_pylori_59958
1208323.3,Celeribacter baekdonensis B30,1,4317525,31,Celeribacter_baekdonensis_59489
1208321.3,Marinomonas sp. D104,1,3821621,53,Marinomonas_sp_59488
1004952.3,Streptococcus suis D12,1,2183059,0,Streptococcus_suis_58284
1206781.3,Paenibacillus alvei DSM 29,1,6834602,25,Paenibacillus_alvei_59483
1206767.3,Desulfovibrio magneticus str. Maddingley MBC34,1,4374051,462,Desulfovibrio_magneticus_59482
1206744.4,Nocardia transvalensis NBRC 15921,1,8372862,95,Nocardia_transvalensis_59481
