,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
F5-e003Coalescence-mGAM-p5_S64,10170,10229
F5-e003Coalescence-mGAM-p7_S160,10163,10244
F8-e003Coalescence-mBHI-p3_S117,10057,10098
H3-e003Coalescence-mBHI-p3_S46,10224,10319
H2-e003Coalescence-mBHI-p7_S133,10208,10308
E5-e003Coalescence-mBHI-p3_S12,10222,10321
F100-e003Coalescence-mGAM-p7_S163,10012,10027
F9-e003Coalescence-mBHI-p5_S18,10102,10108
H3-e003Coalescence-mBHI-p7_S134,10215,10309
E3-e003Coalescence-mGAM-p3_S58,9870,9998
G4-e003Coalescence-mBHI-p5_S27,9659,9773
E8-e003Coalescence-mBHI-p5_S5,9855,10262
G2-e003Coalescence-mBHI-p3_S33,9449,9705
E9-e003Coalescence-mBHI-p5_S6,10131,10157
H111-e003Coalescence-mBHI-p3_S144,10206,10306
G111-e003Coalescence-mGAM-p5_S80,10165,10205
G100-e003Coalescence-mGAM-p3_S179,9952,10113
F111-e003Coalescence-mGAM-p5_S68,10097,10099
G111-e003Coalescence-mBHI-p5_S32,10229,10329
G5-e003Coalescence-mBHI-p3_S36,10223,10322
H2-e003Coalescence-mGAM-p7_S181,10223,10327
H9-e003Coalescence-mGAM-p3_S190,9870,9862
F2-e003Coalescence-mBHI-p7_S109,6179,6199
E3-e003Coalescence-mBHI-p3_S10,10188,10315
H2-e003Coalescence-mGAM-p5_S85,9285,9289
G8-e003Coalescence-mGAM-p3_S177,10031,10148
F2-e003Coalescence-mGAM-p7_S157,9838,9951
H3-e003Coalescence-mGAM-p3_S94,10147,10200
H4-e003Coalescence-mGAM-p3_S95,10069,10128
E5-e003Coalescence-mBHI-p7_S100,10199,10298
G111-e003Coalescence-mBHI-p3_S132,7947,7359
F3-e003Coalescence-mGAM-p3_S70,8259,8100
E100-e003Coalescence-mBHI-p7_S103,10090,10225
F9-e003Coalescence-mGAM-p5_S66,10021,10015
G111-e003Coalescence-mGAM-p7_S176,5825,5425
H100-e003Coalescence-mGAM-p7_S187,9999,9960
E100-e003Coalescence-mGAM-p3_S155,10116,10237
E3-e003Coalescence-mGAM-p5_S50,9773,9873
F5-e003Coalescence-mGAM-p3_S72,9722,9663
E9-e003Coalescence-mBHI-p7_S102,10164,10194
E5-e003Coalescence-mBHI-p5_S4,10210,10302
F111-e003Coalescence-mGAM-p7_S164,10063,10084
E111-e003Coalescence-mBHI-p5_S8,10211,10273
H100-e003Coalescence-mBHI-p5_S43,10220,10317
F2-e003Coalescence-mGAM-p5_S61,9750,9828
F5-e003Coalescence-mBHI-p5_S16,10216,10316
F8-e003Coalescence-mGAM-p5_S65,9897,9944
H8-e003Coalescence-mBHI-p7_S137,10216,10261
G9-e003Coalescence-mGAM-p5_S78,9907,9913
E2-e003Coalescence-mBHI-p5_S1,9883,10270
E2-e003Coalescence-mBHI-p3_S9,9898,10272
G8-e003Coalescence-mGAM-p5_S77,10108,10233
G3-e003Coalescence-mBHI-p3_S34,10140,10237
G100-e003Coalescence-mBHI-p5_S31,10169,10269
F9-e003Coalescence-mBHI-p3_S118,9314,9242
E111-e003Coalescence-mBHI-p3_S108,10099,10116
G3-e003Coalescence-mBHI-p5_S26,10181,10291
G5-e003Coalescence-mBHI-p5_S28,10228,10331
H111-e003Coalescence-mGAM-p5_S92,10187,10227
G4-e003Coalescence-mBHI-p3_S35,9802,9920
H9-e003Coalescence-mGAM-p5_S90,10116,10110
H2-e003Coalescence-mBHI-p3_S45,10216,10322
E8-e003Coalescence-mBHI-p7_S101,10144,10317
E4-e003Coalescence-mBHI-p5_S3,10188,10315
H2-e003Coalescence-mGAM-p3_S93,10175,10275
E4-e003Coalescence-mGAM-p5_S51,9776,10014
G9-e003Coalescence-mGAM-p7_S174,9995,10001
F2-e003Coalescence-mBHI-p3_S21,10206,10320
E8-e003Coalescence-mGAM-p3_S153,10168,10267
G111-e003Coalescence-mGAM-p3_S180,10195,10231
G5-e003Coalescence-mGAM-p3_S84,10141,10204
H8-e003Coalescence-mBHI-p5_S41,10221,10288
E100-e003Coalescence-mBHI-p5_S7,10156,10277
G100-e003Coalescence-mGAM-p7_S175,9904,10048
F9-e003Coalescence-mGAM-p7_S162,9949,9886
E2-e003Coalescence-mBHI-p7_S97,9518,10055
F8-e003Coalescence-mGAM-p7_S161,9922,9975
F3-e003Coalescence-mBHI-p3_S22,10116,10181
G3-e003Coalescence-mBHI-p7_S122,10195,10296
G5-e003Coalescence-mGAM-p5_S76,10019,10076
G5-e003Coalescence-mGAM-p7_S172,10197,10286
G4-e003Coalescence-mGAM-p5_S75,10102,10208
G8-e003Coalescence-mBHI-p3_S129,10167,10277
E5-e003Coalescence-mGAM-p3_S60,10037,10146
G2-e003Coalescence-mGAM-p5_S73,10141,10259
E5-e003Coalescence-mGAM-p7_S148,10199,10317
H9-e003Coalescence-mGAM-p7_S186,10108,10127
E100-e003Coalescence-mGAM-p5_S55,9980,10128
E8-e003Coalescence-mGAM-p5_S53,9824,10227
H5-e003Coalescence-mGAM-p3_S96,10147,10149
G4-e003Coalescence-mGAM-p3_S83,9594,9743
F4-e003Coalescence-mBHI-p7_S111,10199,10298
H3-e003Coalescence-mGAM-p7_S182,10149,10226
H5-e003Coalescence-mGAM-p5_S88,10173,10162
F4-e003Coalescence-mGAM-p5_S63,10091,10195
G4-e003Coalescence-mGAM-p7_S171,9936,10057
H8-e003Coalescence-mGAM-p5_S89,10187,10178
F3-e003Coalescence-mBHI-p5_S14,10099,10186
F100-e003Coalescence-mBHI-p7_S115,10215,10299
E3-e003Coalescence-mGAM-p7_S146,9913,9977
F100-e003Coalescence-mGAM-p3_S167,9637,9660
G100-e003Coalescence-mBHI-p3_S131,9629,10171
G4-e003Coalescence-mBHI-p7_S123,9650,9791
E9-e003Coalescence-mGAM-p3_S154,10043,10132
F3-e003Coalescence-mGAM-p5_S62,10041,10115
H4-e003Coalescence-mBHI-p7_S135,10227,10328
E3-e003Coalescence-mBHI-p5_S2,10207,10326
G111-e003Coalescence-mBHI-p7_S128,10223,10320
H3-e003Coalescence-mBHI-p5_S38,10225,10320
G3-e003Coalescence-mGAM-p3_S82,9290,9479
F111-e003Coalescence-mGAM-p3_S168,10082,10122
F3-e003Coalescence-mGAM-p7_S158,9834,9850
F8-e003Coalescence-mBHI-p7_S113,10137,10192
G2-e003Coalescence-mBHI-p7_S121,9900,10097
H4-e003Coalescence-mBHI-p3_S47,10211,10297
F3-e003Coalescence-mBHI-p7_S110,9946,9998
F100-e003Coalescence-mGAM-p5_S67,9787,9847
G8-e003Coalescence-mBHI-p7_S125,10081,10182
F4-e003Coalescence-mBHI-p5_S15,10181,10279
H111-e003Coalescence-mBHI-p5_S44,10212,10262
E111-e003Coalescence-mBHI-p7_S104,10180,10265
E2-e003Coalescence-mGAM-p3_S57,9821,10199
F2-e003Coalescence-mBHI-p5_S13,10213,10326
F4-e003Coalescence-mBHI-p3_S23,9938,10029
F2-e003Coalescence-mGAM-p3_S69,9906,10039
E9-e003Coalescence-mGAM-p5_S54,9945,9944
G3-e003Coalescence-mGAM-p5_S74,10110,10211
E111-e003Coalescence-mGAM-p5_S56,10138,10088
G100-e003Coalescence-mGAM-p5_S79,10008,10145
H100-e003Coalescence-mGAM-p5_S91,10127,10161
G9-e003Coalescence-mBHI-p3_S130,10116,10241
E4-e003Coalescence-mGAM-p7_S147,9980,10166
E4-e003Coalescence-mGAM-p3_S59,9295,9478
H4-e003Coalescence-mBHI-p5_S39,10232,10333
F4-e003Coalescence-mGAM-p3_S71,10134,10215
H100-e003Coalescence-mBHI-p7_S139,10228,10327
G8-e003Coalescence-mBHI-p5_S29,10148,10257
G2-e003Coalescence-mBHI-p5_S25,9807,10049
G8-e003Coalescence-mGAM-p7_S173,10163,10286
E4-e003Coalescence-mBHI-p3_S11,10040,10208
E2-e003Coalescence-mGAM-p5_S49,9780,10221
H9-e003Coalescence-mBHI-p5_S42,10212,10236
H111-e003Coalescence-mGAM-p3_S192,10193,10245
F5-e003Coalescence-mBHI-p3_S24,10233,10326
E8-e003Coalescence-mBHI-p3_S105,9610,10172
E8-e003Coalescence-mGAM-p7_S149,9854,10236
H5-e003Coalescence-mBHI-p7_S136,10183,10253
G9-e003Coalescence-mBHI-p5_S30,10215,10305
F111-e003Coalescence-mBHI-p7_S116,10127,10139
F5-e003Coalescence-mBHI-p7_S112,10194,10288
F4-e003Coalescence-mGAM-p7_S159,10083,10144
F111-e003Coalescence-mBHI-p3_S120,10189,10203
H3-e003Coalescence-mGAM-p5_S86,10140,10180
E4-e003Coalescence-mBHI-p7_S99,10124,10300
H4-e003Coalescence-mGAM-p5_S87,10159,10226
E100-e003Coalescence-mGAM-p7_S151,9988,10149
G9-e003Coalescence-mGAM-p3_S178,10040,10074
H9-e003Coalescence-mBHI-p7_S138,10101,10116
H8-e003Coalescence-mGAM-p7_S185,10210,10291
G2-e003Coalescence-mGAM-p3_S81,9338,9541
F111-e003Coalescence-mBHI-p5_S20,10155,10167
F8-e003Coalescence-mBHI-p5_S17,10122,10132
G100-e003Coalescence-mBHI-p7_S127,10161,10267
E5-e003Coalescence-mGAM-p5_S52,10169,10273
