,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
G2-e003Coalescence-mBHI-p3_S33,0.755,0.17300000000000004
E9-e003Coalescence-mBHI-p5_S6,0.0013306641041921678,0.9961084988476271
H111-e003Coalescence-mBHI-p3_S144,1.8392813388506776e-05,0.999958091924765
G111-e003Coalescence-mGAM-p5_S80,0.004283201846294667,0.990678376651822
G100-e003Coalescence-mGAM-p3_S179,0.268,0.625
F111-e003Coalescence-mGAM-p5_S68,0.002940853942638428,0.9911697120066096
G111-e003Coalescence-mBHI-p5_S32,0.175,0.779
G5-e003Coalescence-mBHI-p3_S36,0.265,0.622
H2-e003Coalescence-mGAM-p7_S181,0.0007270974827139811,0.9979735386539249
H9-e003Coalescence-mGAM-p3_S190,0.005392624085645,0.9855939631685515
F2-e003Coalescence-mBHI-p7_S109,0.8912399406826048,0.08577372801375695
E3-e003Coalescence-mBHI-p3_S10,0.443,0.43899999999999995
H2-e003Coalescence-mGAM-p5_S85,0.012638092427086883,0.9712891863681271
G8-e003Coalescence-mGAM-p3_S177,0.171,0.768
F2-e003Coalescence-mGAM-p7_S157,0.719,0.235
H3-e003Coalescence-mGAM-p3_S94,0.006690536475806115,0.952
H4-e003Coalescence-mGAM-p3_S95,0.125,0.8180000000000001
E5-e003Coalescence-mBHI-p7_S100,0.0042615738210122845,0.968
G111-e003Coalescence-mBHI-p3_S132,0.07204358320262483,0.8961478932190766
F3-e003Coalescence-mGAM-p3_S70,0.571,0.30000000000000004
E100-e003Coalescence-mBHI-p7_S103,0.381,0.521
F9-e003Coalescence-mGAM-p5_S66,0.001163173204123124,0.9963246907039764
G111-e003Coalescence-mGAM-p7_S176,0.082076594922957,0.9082226174060687
H100-e003Coalescence-mGAM-p7_S187,0.006097784880269876,0.9846838880913856
E100-e003Coalescence-mGAM-p3_S155,0.327,0.577
E3-e003Coalescence-mGAM-p5_S50,0.758,0.20499999999999996
F5-e003Coalescence-mGAM-p3_S72,0.011183698428159753,0.9726794177442567
E9-e003Coalescence-mBHI-p7_S102,0.0019443858502406633,0.981
E5-e003Coalescence-mBHI-p5_S4,0.0009244560491396249,0.9974259270629571
F111-e003Coalescence-mGAM-p7_S164,0.002063040964256909,0.9935055323615998
E111-e003Coalescence-mBHI-p5_S8,0.0006684962372973609,0.9983494873439536
H100-e003Coalescence-mBHI-p5_S43,0.165,0.789
F2-e003Coalescence-mGAM-p5_S61,0.763,0.19599999999999995
F5-e003Coalescence-mBHI-p5_S16,0.21,0.603
F8-e003Coalescence-mGAM-p5_S65,0.00426111238366283,0.9876993830562537
H8-e003Coalescence-mBHI-p7_S137,0.00030848685413962796,0.9990857205321032
G9-e003Coalescence-mGAM-p5_S78,0.0026452133242052095,0.9919223793212942
E2-e003Coalescence-mBHI-p5_S1,0.0009242783048382142,0.9976880216855498
E2-e003Coalescence-mBHI-p3_S9,0.0007227182842342995,0.9981066717923837
G8-e003Coalescence-mGAM-p5_S77,0.34,0.575
G3-e003Coalescence-mBHI-p3_S34,0.586,0.32199999999999995
G100-e003Coalescence-mBHI-p5_S31,0.486,0.45099999999999996
F9-e003Coalescence-mBHI-p3_S118,0.0038552106749413398,0.9900286194097117
E111-e003Coalescence-mBHI-p3_S108,0.001144373135598655,0.9967761895946873
G3-e003Coalescence-mBHI-p5_S26,0.54,0.369
G5-e003Coalescence-mBHI-p5_S28,0.143,0.763
H111-e003Coalescence-mGAM-p5_S92,9.622085295232536e-05,0.999816746979451
G4-e003Coalescence-mBHI-p3_S35,0.715,0.23199999999999998
H9-e003Coalescence-mGAM-p5_S90,0.0014967385317913894,0.9951090725307746
H2-e003Coalescence-mBHI-p3_S45,0.0007459096830281911,0.9979385590270045
E8-e003Coalescence-mBHI-p7_S101,0.05,0.912
E4-e003Coalescence-mBHI-p5_S3,0.456,0.41200000000000003
H2-e003Coalescence-mGAM-p3_S93,0.0032570632821976313,0.990802722087482
E4-e003Coalescence-mGAM-p5_S51,0.083,0.837
G9-e003Coalescence-mGAM-p7_S174,0.0011472129733676895,0.9964215247800473
F2-e003Coalescence-mBHI-p3_S21,0.413,0.473
E8-e003Coalescence-mGAM-p3_S153,0.427,0.509
G111-e003Coalescence-mGAM-p3_S180,0.076,0.896
G5-e003Coalescence-mGAM-p3_S84,0.008505171405383262,0.9410000000000001
H8-e003Coalescence-mBHI-p5_S41,0.0002572899702838221,0.9992567799893401
E100-e003Coalescence-mBHI-p5_S7,0.497,0.43700000000000006
G100-e003Coalescence-mGAM-p7_S175,0.278,0.615
F9-e003Coalescence-mGAM-p7_S162,0.00262734543607745,0.9917738622846264
E2-e003Coalescence-mBHI-p7_S97,0.009381232085044815,0.9764712369784477
F8-e003Coalescence-mGAM-p7_S161,0.005208564355423047,0.9850355009823685
F3-e003Coalescence-mBHI-p3_S22,0.594,0.365
G3-e003Coalescence-mBHI-p7_S122,0.47,0.43799999999999994
G5-e003Coalescence-mGAM-p5_S76,0.004262635061031218,0.989960620408141
G5-e003Coalescence-mGAM-p7_S172,0.002324113137331297,0.981
G4-e003Coalescence-mGAM-p5_S75,0.563,0.364
G8-e003Coalescence-mBHI-p3_S129,0.44,0.489
E5-e003Coalescence-mGAM-p3_S60,0.006783731470518405,0.9816865261124392
G2-e003Coalescence-mGAM-p5_S73,0.488,0.43000000000000005
E5-e003Coalescence-mGAM-p7_S148,0.0010898548286270785,0.9970330605640054
H9-e003Coalescence-mGAM-p7_S186,0.0009178533613211464,0.9969621188910689
E100-e003Coalescence-mGAM-p5_S55,0.206,0.712
E8-e003Coalescence-mGAM-p5_S53,0.003231941311604879,0.9915120679017863
H5-e003Coalescence-mGAM-p3_S96,0.0018558027888882884,0.9955192022135414
G4-e003Coalescence-mGAM-p3_S83,0.778,0.16500000000000004
F4-e003Coalescence-mBHI-p7_S111,0.44,0.45099999999999996
H3-e003Coalescence-mGAM-p7_S182,0.00554467101503145,0.932
H5-e003Coalescence-mGAM-p5_S88,0.0006234102741583346,0.9986763236805163
F4-e003Coalescence-mGAM-p5_S63,0.55,0.353
G4-e003Coalescence-mGAM-p7_S171,0.647,0.278
H8-e003Coalescence-mGAM-p5_S89,0.0002907648630226772,0.9994579953768765
F3-e003Coalescence-mBHI-p5_S14,0.588,0.371
F100-e003Coalescence-mBHI-p7_S115,0.284,0.631
E3-e003Coalescence-mGAM-p7_S146,0.698,0.261
F100-e003Coalescence-mGAM-p3_S167,0.004591279582005131,0.9883786751199652
G100-e003Coalescence-mBHI-p3_S131,0.0011007653158699514,0.9970996741564332
G4-e003Coalescence-mBHI-p7_S123,0.749,0.20299999999999996
E9-e003Coalescence-mGAM-p3_S154,0.0034248619511634045,0.9901431110517014
F3-e003Coalescence-mGAM-p5_S62,0.565,0.378
H4-e003Coalescence-mBHI-p7_S135,0.091,0.8220000000000001
E3-e003Coalescence-mBHI-p5_S2,0.401,0.478
G111-e003Coalescence-mBHI-p7_S128,0.201,0.741
H3-e003Coalescence-mBHI-p5_S38,0.176,0.685
G3-e003Coalescence-mGAM-p3_S82,0.895,0.07699999999999996
